abcnews.306755	pr01	Warren plans to take a 'hard look' at running for president	﻿Warren planira „dobro razmisliti” o kandidaturi na predsjedničkim izborima
review_books_19_4	pr02	As the owner of two cats myself, after the second read-through, I realized that this novel has much to teach about the critical importance of dealing with fur and dust.I could only give four stars, though, because the cats do not agree, and indeed wish I had not made this purchase.	Kao vlasnik dviju mačaka nakon drugog čitanja shvaćam da nas ovaj roman može mnogo naučiti o ključnoj važnosti nošenja s krznom i prašinom. Ipak mu dajem samo četiri zvjezdice jer se mačke ne slažu i voljele bi da nisam kupio ovaj roman.
review_books_233_1	pr02	Excellent	﻿Odlično
review_books_233_1	pr02	Those that I stared I have and would recommend to others.	One koje sam označio zvjezdicama imam i preporučio bih ih drugima.
review_books_233_1	pr02	Payne did an excellent job of describing the market for on who hasn't a financial background.	Payne je odlično opisao tržište za nekog tko nije iz financijskih krugova.
review_books_233_1	pr02	Have enjoyed the prophet (book) for years and the recording of same by Harris I wore out 33rpm vinyl in college and replaced it with cd when it became available.	Godinama uživam u „Propovjedniku” (knjizi) i Harrisovom audiozapisu knjige koji sam slušao na gramofonskoj ploči na fakultetu dok se nije istrošila i onda sam je zamijenio CD-om čim se pojavio.
review_books_268_2	pr03	We all know the text, but	﻿Svi znamo tekst, ali
review_books_268_2	pr03	this book is a small version of the original.	ova je knjiga mala verzija originala.
review_books_268_2	pr03	I ordered it and when I opened it I was very disappointed to find that it is not the industry standard that I knew.	Naručila sam je i kad sam je otvorila, bila sam jako razočarana kad sam otkrila da to nije industrijski standard koji sam poznavala.
review_books_268_2	pr03	Then I went back to see if I missed something about the size in the description, but could not find any reference to it.	Onda sam išla provjeriti jesam li propustila neku informaciju o veličini u opisu, ali nisam mogla naći ništa što bi na to upućivalo.
review_books_268_2	pr03	On a positive note, Amazon's return policy is amazing.	S druge strane, oduševljena sam pravilima za povrat proizvoda tvrtke Amazon.
review_books_268_2	pr03	Immediate Credit when informed of the problem and the return shipping was very easy.	Kada sam ih obavijestila o problemu, odmah su mi vratili uplaćeni iznos, a i vraćanje proizvoda bilo je vrlo jednostavno.
review_books_302_2	pr03	In the land of the blind...	﻿U zemlji slijepih...
review_books_302_2	pr03	This piece of literature promises enlightenment but fails to deliver.	Ova knjiga obećava prosvjetljenje, ali ne uspijeva ispuniti to obećanje.
review_books_302_2	pr03	Though the transient prophet indeed speaks eloquently and his words inspire deep reflection, they fail to impart true understanding.	Iako prolazni prorok uistinu lijepo govori i njegove riječi potiču na dubinsku samorefleksiju, ne uspijevaju prenijeti istinsko razumijevanje.
review_books_302_2	pr03	The initial discourse on love is riveting but what follows quickly descends into empty rhetorical musings which continue until the bitter end.	Početni je diskurs o ljubavi fascinantan, ali nastavak brzo prelazi u prazna retorička promišljanja koja se nastavljaju do gorkog kraja.
review_books_302_2	pr03	The most entertaining aspect of this book is the artful use of language which almost masks the fact that the prophet indeed speaks but says nothing.	Najzabavniji aspekt ove knjige jest vješta upotreba jezika koja gotovo maskira činjenicu da prorok govori, ali ništa ne kaže.
review_books_311_1	pr03	Book in Shambles When Received	﻿Knjiga je primljena u raspadnutom stanju
review_books_311_1	pr03	DO NOT BUY FROM THIS BOOK FROM Amazon.com LLC .	NE KUPUJTE OVU KNJIGU OD TVRTKE Amazon.com LLC.
review_books_311_1	pr03	I ordered this book earlier in the week with Amazon Prime for a going away gift.	Naručio sam ovu knjigu ranije ovog tjedna putem usluge Amazon Prime kao poklon za osobu koja se seli.
review_books_311_1	pr03	I received the book today.	Danas sam primio knjigu.
review_books_311_1	pr03	The party is tomorrow.	Zabava je sutra.
review_books_311_1	pr03	Half of the book sleeve seems to have been cut off with an exacto knive, also leaving gashes in the book cover.	Izgleda da je polovica omota knjige izrezana nožem, a urezi se vide i na koricama knjige.
review_books_311_1	pr03	The packaging was fine.	Pakiranje je bilo u redu.
review_books_311_1	pr03	I could return it but it wouldn't come back before tomorrow.	Knjigu bih mogao vratiti, ali ne bih dobio novu do sutra.
review_books_311_1	pr03	Spend extra and use another seller.	Uložite malo više novca i kupite kod drugog prodavača.
review_books_5_5	pr04	I was disappointed that you would only allow me to purchase 4 when your inventory showed that you had 14 available.	﻿Razočarana sam što sam mogla kupiti samo 4, a pisalo je da ih je raspoloživo 14.
review_books_5_5	pr04	We have many of the old, old issue.	Imamo puno primjeraka vrlo, vrlo starog izdanja.
review_books_5_5	pr04	But the number had depleted.	Ali njihov se broj smanjio.
review_books_5_5	pr04	There were not  enough books to allow us to use them regularly.	Nije bilo dovoljno knjiga da bismo ih mogli redovito upotrebljavati.
review_books_5_5	pr04	With the additional supply the books will be used more often.	Uz dodatne primjerke knjige će se češće upotrebljavati.
review_books_5_5	pr04	They arre a good old standby for gospel singing.	Dobra su stara rezerva za pjevanje gospela.
review_books_77_2	pr04	If you're looking for a tiny printed novelty you'll love this	﻿Ako tražite sitnu knjigu za ukras obožavat ćete ovo
review_books_77_2	pr04	I've always loved The Prophet and I've read it many times.	Oduvijek sam voljela knjigu The Prophet i mnogo sam je puta pročitala.
review_books_77_2	pr04	I gave away my last copy and was looking for a replacement.	Poklonila sam svoj zadnji primjerak i tražila sam zamjenu za njega.
review_books_77_2	pr04	I purchased this copy only to find that it was a tiny novelty version of the book.	Kupila sam ovaj primjerak, ali nisam očekivala da će to biti sitna verzija knjige za ukras.
review_books_77_2	pr04	If you're looking for something tiny to keep in your purse then this is for you.	Ako tražite nešto malo što možete držati u torbici, onda je ovo knjiga za vas.
review_books_77_2	pr04	If you're looking for a "real book" then this is a joke.	Ako tražite „pravu knjigu”, onda je ovo stvarno smiješno.
review_books_8_4	pr04	Heavenly Highway Hymns	﻿Heavenly Highway Hymns
review_books_8_4	pr04	Heavenly Highway HymnsI ordered this hymnal because I learned to read shaped note music when I was a teenager.	Heavenly Highway HymnsNaručio sam ovu zbirku crkvenih pjesama jer sam naučio čitati note dok sam bio tinejdžer.
review_books_8_4	pr04	I play piano but do not sing.	Sviram klavir, ali ne pjevam.
review_books_8_4	pr04	I am 85 years old.	Imam 85 godina.
review_books_8_4	pr04	This hymnal has mostof the songs I have learned over the years.	Ova zbirka sadrži većinu pjesama koje sam naučio s godinama.
review_books_8_4	pr04	It was exactly what I wanted and needed.It was in good condition and the price was right.	Upravo je to što sam želio i trebao.Bila je u dobrom stanju i odgovarajuće cijene.
review_books_8_4	pr04	I purchased this book from Amazon.	Kupio sam ovu knjigu od Amazona.
review_cd+vinyl_107_2	pr02	Not worth the money	﻿Ne vrijedi novca
review_cd+vinyl_107_2	pr02	The CD arrived in excellent conditons and promptly.	CD je stigao brzo i u odličnom stanju.
review_cd+vinyl_107_2	pr02	The merchandise is not worth the money.	Roba nije vrijedna novca.
review_cd+vinyl_107_2	pr02	Too much of the original story is missing in the interest of cramming it in one CD.	Prevelik dio originalne priče nedostaje zbog naguravanja na jedan CD.
review_cd+vinyl_107_2	pr02	Will leave you with a lot of questions on how did sherlock homes arrived at his results.	Ostat će vam mnogo nejasnoća u pogledu toga kako je Sherlock Holmes došao do svojih zaključaka.
review_cd+vinyl_107_2	pr02	Your imagination will not be enough to fill out the gaps in the narrative.	Mašta vam neće biti dovoljna da popunite praznine u priči.
review_cd+vinyl_110_1	pr03	Get the 13-disc box set from AmazonUK!	﻿Nabavite komplet od 13 diskova na stranici AmazonUK!
review_cd+vinyl_110_1	pr03	$117 on the secondary market for this inferior set?	117 dolara na sekundarnom tržištu za ovaj inferiorni komplet?
review_cd+vinyl_110_1	pr03	HA!	HA!
review_cd+vinyl_110_1	pr03	Go to AMAZON UK and get the complete 13-disc set in a beautiful box set for about $84 shipped.	Idite na AMAZON UK i nabavite cijeli komplet od 13 diskova u predivnoj kutiji za otprilike 84 dolara s uključenom dostavom.
review_cd+vinyl_110_1	pr03	(I just received mine!	(Upravo sam dobio svoj!)
review_cd+vinyl_110_1	pr03	)It doesn't take Marvin, with a brain the size of a planet, to see which is better.	Nije vam potreban Marvin s mozgom veličine planeta da znate što je bolje.
review_cd+vinyl_113_2	pr01	Original Audio CD Verison Still Available	﻿Originalna verzija na audio CD-u još je dostupna
review_cd+vinyl_113_2	pr01	With regard to concerns about the audio quality of the this MP3 version, the original audio CD version ("The Collector's Edition"), an 8-CD set, is still available from Amazon UK.	Ako vas brine kvaliteta ove MP3-verzije, originalna CD-verzija („The Collector’s edition”), koju čini komplet od 8 CD-ova, još je dostupna u trgovini Amazon UK.
review_cd+vinyl_113_2	pr01	I paid a little more than twice the MP3 price.	Platila sam malo više od dvostruke cijene MP3 datoteka.
review_cd+vinyl_113_2	pr01	The ISBN number of the Audio CD version is 0-563-47702-4.	ISBN broj audio CD-a je 0-563-47702-4.
review_cd+vinyl_12_5	pr01	Keith Green - Relevant for the Ages	﻿Keith Green: relevantan za sva vremena
review_cd+vinyl_12_5	pr01	Though it has been over 3 decades since Keith left this life, his music still resonates with truth.	Iako je prošlo više od 30 godina otkako je Keith napustio ovaj svijet, njegova glazba i dalje odiše istinom.
review_cd+vinyl_12_5	pr01	This was one of the first albums I purchased of Keith's &#34;back in the day&#34;.	Ovo je jedan od prvih Keithovih albuma koji sam kupio nekad davno.
review_cd+vinyl_12_5	pr01	What a sweet album of praise as he moves through the Psalms!	Koji divan album hvalospjeva u kojem prolazi kroz psalme!
review_cd+vinyl_152_2	pr01	NOT CLAPTION MUSIC VIDEO!  A Learn How To Play Guitar LIKE Clapton	﻿NIJE CLAPTONOV GLAZBENI SPOT!  Naučite svirati gitaru POPUT Claptona
review_cd+vinyl_152_2	pr01	I bought this DVD and I'm returning it.	Kupio sam ovaj DVD i vratit ću ga.
review_cd+vinyl_152_2	pr01	The description and editorial review are misleading.	Opis i urednička recenzija ostavljaju pogrešan dojam.
review_cd+vinyl_152_2	pr01	This is NOT a Clapton video.	Ovo NIJE Claptonov video.
review_cd+vinyl_152_2	pr01	Certainly some clips from Clapton, but generally this is a "how to" video.	Neki su isječci sigurno Claptonovi, ali u globalu je ovo video za učenje sviranja.
review_cd+vinyl_152_2	pr01	Same applies to Clapton  The Early Years!	Isto vrijedi i za Clapton - The Early Years!
review_cd+vinyl_156_2	pr02	NOT CLAPTION MUSIC VIDEO!  A Learn How To Play Guitar LIKE Clapton	﻿NIJE CLAPTONOV GLAZBENI VIDEOZAPIS! Naučite svirati gitaru KAO Clapton
review_cd+vinyl_156_2	pr02	I bought this DVD and I'm returning it.	Kupila sam ovaj DVD i vraćam ga.
review_cd+vinyl_156_2	pr02	The description and editorial review are misleading.	Opis i urednička recenzija su zavaravajući.
review_cd+vinyl_156_2	pr02	This is NOT a Clapton video.	Ovo NIJE videozapis Claptona.
review_cd+vinyl_156_2	pr02	Certainly some clips from Clapton, but generally this is a "how to" video.	Tu su neki snimci Claptona, ali u suštini ovo je videozapis koji podučava kako svirati.
review_cd+vinyl_156_2	pr02	Also applies to Clapton The Solo Years.	Isto vrijedi za DVD o Claptonovim solističkim godinama.
review_cd+vinyl_159_2	pr02	Don't waste your money.	﻿Ne bacajte novac.
review_cd+vinyl_159_2	pr02	This isn't worth your money.	Ovo nije vrijedno vašeg novca.
review_cd+vinyl_159_2	pr02	Doug runs through each song in about three or four minutes, he doesn't give you time to learn it.Unless you've already mastered transcribing (and then why buy this dvd?	Doug projuri kroz svaku pjesmu u tri ili četiri minute i ne daje vam vremena da je naučite. Osim ako ste već savladali zapisivanje nota (a u tom slučaju zašto biste kupili ovaj DVD?), morat ćete premotavati snimku milijun puta da uhvatite prave note. Ovo nije ništa bolje od videozapisa na YouTubeu na kojem netko svira hrpu Claptonovih pjesama. Doug vam čak ne pokazuje ritam ni druge dijelove na gitari!
review_cd+vinyl_159_2	pr02	), you're going to be left to rewinding a million times to get the right notes.This is no better than a youtube video of someone playing a bunch of clapton songs.Doug doesn't even show you the rhythm or other guitar parts!	Na kraju znate samo osnovnu melodiju! Kakvog to smisla ima?
review_cd+vinyl_159_2	pr02	You're left only knowing the lead!What sense does that make?	
review_cd+vinyl_164_1	pr02	Clapton Classics	﻿Claptonovi klasici
review_cd+vinyl_164_1	pr02	Very disappointing.	Vrlo razočaravajuće.
review_cd+vinyl_164_1	pr02	This was advertised to be a "note-for-note" lesson on selected Clapton tunes, and it was not even close.	Ovo je oglašeno kao lekcija „nota po notu” odabranih Claptonovih pjesama, ali nema veze s time.
review_cd+vinyl_164_1	pr02	There was no tab to support the little (and sometime inaccurate) portions of the songs that were listed.	Nema tablature uz kratke (i ponekad netočne) dijelove pjesama koje su odabrane.
review_cd+vinyl_164_1	pr02	I sent a complaint directly to Hal Leonard, but never received the courtesy of a reply.	Uputio sam prigovor izravno izdavačkoj kući Hal Leonard, ali nisu mi se udostojili odgovoriti.
review_cd+vinyl_16_5	pr03	Fave!	﻿Favorit!
review_cd+vinyl_16_5	pr03	I bought this in LP form when it was brand new, recorded it onto a cassette so I could play it in my car, listened, and listened, and listened.	Kupio sam ovaj album u formatu LP ploče kada je bio potpuno nov, snimio sam ga na kasetu kako bih ga mogao slušati u autu i onda sam ga samo slušao, slušao i slušao.
review_cd+vinyl_16_5	pr03	I have so missed listening to this (no longer have a turn-table) that I've finally reordered it on CD.	Ovaj mi je album toliko nedostajao (više nemam gramofon) da sam ga naposljetku ponovo naručio na CD-u.
review_cd+vinyl_16_5	pr03	YAY!!	JUPI!!
review_cd+vinyl_16_5	pr03	Can't wait to play it, and play it, and play it.	Jedva čekam da ga slušam unedogled.
review_cd+vinyl_16_5	pr03	No one, absolutely no one wears his heart for God on his sleeve like Keith Green!	Nitko, apsolutno nitko ne pokazuje svoju ljubav prema Bogu tako očigledno kao Keith Green!
review_cd+vinyl_16_5	pr03	I can't wait to meet him in heaven.	Jedva čekam da ga upoznam u raju.
review_cd+vinyl_17_5	pr03	Anointed!	﻿Posvećenost me prožela!
review_cd+vinyl_17_5	pr03	I love the songs on this album and how Keith once again focuses all on the Good Shepherd, our Lord Jesus.	Volim pjesme na ovom albumu i kako se Keith ponovo fokusira na Dobrog Pastira, našega Gospodina Isusa.
review_cd+vinyl_17_5	pr03	The songs are timeless, the anointing is fresh even after all the years since they were written.	Pjesme su bezvremenske, posvećenost je jasna čak i nakon svih ovih godina od kada su te pjesme napisane.
review_cd+vinyl_17_5	pr03	I think that's a sure sign of anointing is to see the fruit remain.	Mislim da je siguran znak posvećenosti vidjeti kako nam ostaju plodovi rada.
review_cd+vinyl_23_5	pr03	Wonderful!!!	﻿Divno!!!
review_cd+vinyl_23_5	pr03	I had had a cassette of this recording, and knew I loved it.	Imao sam kasetu ove snimke i znao sam da mi se sviđa.
review_cd+vinyl_23_5	pr03	I bought several of these CDs so that I could share with nephews, and friends, and keep one for myself.	Kupio sam nekoliko ovih CD-a da ih mogu podijeliti s nećacima i prijateljima te zadržati jedan za sebe.
review_cd+vinyl_23_5	pr03	Very gentle and easy to sleep to.	Vrlo lagano i dobro za uspavljivanje.
review_cd+vinyl_23_5	pr03	Words are clearly sung, understandable.	Riječi su jasno otpjevane, razumljive.
review_cd+vinyl_23_5	pr03	It's been a blessing to me that I was anxious to find and pass on to others.	Ova glazba bila mi je blagoslov koji sam jedva čekao pronaći i prenijeti drugima.
review_cd+vinyl_23_5	pr03	Great for children-- I was a child when Grandma got me the tape.	Sjajno za djecu. Baka mi je kupila tu kasetu u djetinjstvu.
review_cd+vinyl_25_5	pr04	Memories	﻿Uspomene
review_cd+vinyl_25_5	pr04	My mother-in-law bought this video for my daughter when she was young.	Moja svekrva je kupila ovu videosnimku mojoj kćeri kad je bila mala.
review_cd+vinyl_25_5	pr04	I was looking for videos the other day for my three year old granddaughter and came across this.	Neki dan sam tražila videosnimke za svoju trogodišnju unuku i pronašla sam je.
review_cd+vinyl_25_5	pr04	My granddaughter LOVES this video.	Moja unuka OBOŽAVA ovu videosnimku.
review_cd+vinyl_25_5	pr04	She watches it OVER and OVER and OVER.	Stalno je gleda PONOVNO i PONOVNO i PONOVNO.
review_cd+vinyl_25_5	pr04	It is older, dated and corny, but she loves it!	Malo je starija, zastarjela i otrcana, ali ona je obožava!
review_cd+vinyl_25_5	pr04	We even find ourselves singing the songs!	Čak pjevamo i pjesmice!
review_cd+vinyl_7_5	pr04	His last album is focused on Praise	﻿Njegov posljednji album usmjeren je na slavu
review_cd+vinyl_7_5	pr04	Keith Green / Songs for the Shepherd:  His previous albums were more focused on encouragement and correction towards the Church.	Keith Green / Songs for the Shepherd:  njegovi raniji albumi bili su fokusiraniji na poticanje i usmjeravanje prema Crkvi.
review_cd+vinyl_7_5	pr04	This, his last, is focused on Praise.	Ovaj, njegov posljednji album, usmjeren je na slavu.
review_cd+vinyl_7_5	pr04	This one is still not as great as his first album, but it is a strong enough Praise album to earn Five Stars.	Nije odličan kao njegov prvi album, ali je dovoljno solidan album na temu slave da zaslužuje pet zvjezdica.
review_cd+vinyl_8_5	pr04	This is album is absolutely Blessed!	﻿Ovaj album je pravi blagoslov!
review_cd+vinyl_8_5	pr04	As soon as it reached me, I played and listened to it and I had a flashback moment to the eighties when I heard it and when I saw him in concert just before his death.	Čim je stigao, odmah sam ga uključila i poslušala i prisjetila sam se osamdesetih kad sam ga čula i bila na njegovu koncertu tik prije njegove smrti.
review_cd+vinyl_8_5	pr04	I wept but smiled because I was soo blessed by the music and I hope you are encourage to get this as well.	Plakala sam, ali sam se smiješila jer sam se osjećala doista blagoslovljeno glazbom i nadam se da će vas to potaknuti da ga i vi nabavite.
review_cell-phones+accessories_102_1	pr01	FAIL	﻿NE VALJA
review_cell-phones+accessories_102_1	pr01	JUNK!!	SMEĆE!
review_cell-phones+accessories_102_1	pr01	!......This product must be miss labeled.	Ovaj je proizvod sigurno pogrešno označen.
review_cell-phones+accessories_102_1	pr01	I can not get my Samsung S2 phone to charge with this OEM charger.	Ne mogu puniti Samsung S2 ovim punjačem proizvođača originalne opreme.
review_cell-phones+accessories_102_1	pr01	The lights are on, the phone says its charging but nothing happens.	Svjetla su uključena, mobitel prikazuje da se puni, ali ništa se ne događa.
review_cell-phones+accessories_102_1	pr01	I am not sure if I got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge.	Nisam siguran jesam li dobio neispravan proizvod, ali veoma je iritantno sjediti u autu satima i gledati kako se telefon ne puni.
review_cell-phones+accessories_102_1	pr01	If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.	Ako trebate pouzdani punjač, NEMOJTE kupiti ovaj proizvod. Ako trebate automobilski punjač za Samsung S2, preporučio bih Motorolin električni adapter za vozila.
review_cell-phones+accessories_102_1	pr01	It charges fast and is dependable.	On brzo puni i pouzdan je.
review_cell-phones+accessories_105_2	pr04	LIGHT DUTY FAILURE	﻿KVAR NAKON UMJERENE UPOTREBE
review_cell-phones+accessories_105_2	pr04	WHAT A GREAT PRICE!RIGHT OUT OF THE BOX, PLUG N UPLOAD SUM JUICE ...DON'T KNOW IF DROPPING IT REPEATEDLY ON THE FLOORBOARD,OR OCCASIONALLY STUFFING IT IN CONSOLE TO HIDE CAUSED FAILURE ...BUT SOON THE GREEN LIGHT FAILED TO LIGHT, AND PHONES DISPLAY SHOWEDIT WASN'T CHARGING.	KOJA ODLIČNA CIJENA!ODMAH RADI, SAMO GA UKLJUČITE I PRENESITE ENERGIJU ...NE ZNAM JE LI SE POKVARIO JER MI JE STALNO PADAO NA POD ILI JER SAM GA NEKAD UGURAO U KONZOLU DA BIH GA SAKRIO ...ALI USKORO JE ZELENA LAMPICA PRESTALA RADITI I NA ZASLONU TELEFONA PRIKAZIVALO SE DA SE NE PUNI.
review_cell-phones+accessories_105_2	pr04	SO EITHER SPEND SEVERAL MORE DOLLARS FOR ONE WITHA HEAVIER CORD/STRONGER SHELL OR TREAT IT AS A DELICATE FLOWER.	PREMA TOME, ILI POTROŠITE KOJI DOLAR VIŠE ZA NEKI S DEBLJIM KABELOM / ČVRŠĆIM KUĆIŠTEM ILI GA PAZITE I MAZITE.
review_cell-phones+accessories_117_1	pr01	Stopped Working after 1 1/2 month..	﻿Prestao raditi nakon mjesec i pol
review_cell-phones+accessories_117_1	pr01	This thing worked well when it actually functioned, but today it stopped working and I am past the 30 day return window by 10 days give or take.I'm guessing the quality might not be great as that is why it stopped working, who knows.. What a waste of money.	Ovaj je proizvod dobro radio dok je zapravo funkcionirao, ali danas je prestao raditi, a razdoblje za povrat od 30 dana prošlo je prije otprilike 10 dana. Pretpostavljam da nije jako kvalitetan, pa je zato prestao raditi, ali tko zna. Bačen novac.
review_cell-phones+accessories_12_5	pr01	A Winner	﻿Pobjednik
review_cell-phones+accessories_12_5	pr01	This is the first battery case I have had for my Galaxy S4.	Ovo je prva maska s baterijom koju sam imao za Galaxy S4.
review_cell-phones+accessories_12_5	pr01	The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4.	S4 jako dobro sjeda, maska je tanka i ne dodaje mnogo težine Galaxyju S4.
review_cell-phones+accessories_12_5	pr01	It doubles the battery life.	Udvostručuje trajanje baterije.
review_cell-phones+accessories_12_5	pr01	You can charge either the battery, the phone or both.	Baterija i mobitel mogu se puniti zasebno, ali i istovremeno.
review_cell-phones+accessories_12_5	pr01	There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well.	Ima koristan prekidač za paljenje i gašenje s ledicama koje pokazuju razinu napunjenosti baterije. Maska s baterijom došla je na vrijeme i bila je dobro zapakirana.
review_cell-phones+accessories_12_5	pr01	Well worth the price.	Definitivno se isplati.
review_cell-phones+accessories_127_1	pr01	Unfortunate item.	﻿Artikl s greškom.
review_cell-phones+accessories_127_1	pr01	I received this product in a very timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item.	Primila sam ovaj proizvod vrlo brzo, što je divno, ali poklonila sam ga nekome i bilo me sram kad sam saznala da se radi o artiklu s greškom.
review_cell-phones+accessories_127_1	pr01	I was reimbursed for the product but would have much rather had a product that worked the first time.	Dobila sam povrat novca, ali bilo bi mi mnogo draže da sam odmah dobila proizvod koji funkcionira.
review_cell-phones+accessories_132_1	pr02	Not Very Good!	﻿Nije neka kvaliteta!
review_cell-phones+accessories_132_1	pr02	Had all the marking of a legit samsung product but the cord stop working after 3 days.	Imao je sve značajke pravog proizvoda marke Samsung, ali kabel je prestao raditi nakon tri dana.
review_cell-phones+accessories_132_1	pr02	I'm not upset because it was very inexpensive but maybe you should spend a little more and buy a better product off amazon.	Nisam uznemiren jer je bio vrlo jeftin, ali možda bi bilo dobro potrošiti malo više i kupiti bolji proizvod negdje drugdje, a ne na Amazonu.
review_cell-phones+accessories_132_1	pr02	When it did work it worked very well.	Dok je radio, radio je vrlo dobro.
review_cell-phones+accessories_13_5	pr02	Absolutely love the case !!	﻿Apsolutno volim ovu maskicu!!
review_cell-phones+accessories_13_5	pr02	Performs exactly as advertised .	Točno je onakva kakva je u oglasu.
review_cell-phones+accessories_13_5	pr02	It's very  sturdily built,and provides lots of boost .	Vrlo je čvrsto izrađena i pruža veliku potporu.
review_cell-phones+accessories_13_5	pr02	It does exactly what it's supposed too .Easy to insert phone in and out .	Služi točno onome čemu i treba. Lako je staviti mobitel u nju i izvaditi ga.
review_cell-phones+accessories_13_5	pr02	Definitely a 5 star experience.	Definitivno iskustvo za 5 zvjezdica.
review_cell-phones+accessories_13_5	pr02	Don't know what I would do without this case LOVE LOVE LOVE it.	Ne znam što bih bez ove maskice. VOLIM VOLIM VOLIM je.
review_cell-phones+accessories_25_4	pr02	Works great	﻿Odlično radi.
review_cell-phones+accessories_25_4	pr02	I have several chargers.	Imam nekoliko punjača.
review_cell-phones+accessories_25_4	pr02	Have more than one vehicle so I keep more than one of these in each.	Imam više vozila pa držim više punjača u svakom od njih.
review_cell-phones+accessories_25_4	pr02	Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone.	Ništa ne frustrira čovjeka više nego kad iznenada ustanovi da je punjač prestao raditi i ne postoji način da napuni svoj mobitel.
review_cell-phones+accessories_25_4	pr02	That is always when you need it most.	To se uvijek događa kad najviše trebate punjač.
review_cell-phones+accessories_25_4	pr02	This one works well for any of my products.	Ovaj radi odlično sa svim mojim proizvodima.
review_cell-phones+accessories_28_4	pr03	Solid Charger but RF noisy	﻿Solidan punjač, ali poprilična RF buka
review_cell-phones+accessories_28_4	pr03	This is a nice charger but you can tell it was made cheaply in China.	Ovo je zgodan punjač, ali vidi se da je jeftino napravljen u Kini.
review_cell-phones+accessories_28_4	pr03	When it is charging the phone, the car radio gets LOTS of static.	Kada se telefon puni, na radiju u automobilu čuje se MNOGO statičkog elektriciteta.
review_cell-phones+accessories_28_4	pr03	Not so much that I have to stop charging but like when you are near power lines and the radio station is far away.So, no RF shielding.I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars.	Ne toliko da moram prestati puniti, ali neugodno je kad sam blizu dalekovoda, a radijska stanica je daleko. Dakle, nema zaštite od radijske frekvencije. Dao sam mu 4 zvjezdice jer mi odgovara, ali ako slušate radio, dali biste mu 2 ili 3 zvjezdice.
review_cell-phones+accessories_40_4	pr03	Dual USB Port Car Charger	﻿Punjač za automobil s dva USB priključka
review_cell-phones+accessories_40_4	pr03	Purchased product about many a month ago.	Proizvod je kupljen prije više mjeseci.
review_cell-phones+accessories_40_4	pr03	Pros: Loved it work just fine!!	Dobre strane: super mi je i radi sasvim dobro!!
review_cell-phones+accessories_40_4	pr03	Cool Blue light feature when you plug it into the lighter!!	Zgodna značajka s plavim svjetlom kada ga priključite u upaljač!!
review_cell-phones+accessories_40_4	pr03	Can plug in two things at one time....Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%	Možete puniti dva uređaja odjednom... Loše strane: gornji je dio lako otpao nakon nekog vremena (samo sam stavio prozirni selotejp na vrh) UKUPNO: DOBRE STRANE: 95 %, LOŠE STRANE: 5 %
review_cell-phones+accessories_4_4	pr03	Cute!	﻿Slatko!
review_cell-phones+accessories_4_4	pr03	Item arrived in great time and was in perfect condition.	Proizvod je stigao brzo i bio je u savršenom stanju.
review_cell-phones+accessories_4_4	pr03	However, I ordered these buttons because they were a great deal and included a FREE screen protector.	Međutim, naručio sam ove gumbe jer su bili na odličnoj ponudi koja je uključivala i BESPLATNU zaštitu za zaslon.
review_cell-phones+accessories_4_4	pr03	I never received one.	Nikad je nisam dobio.
review_cell-phones+accessories_4_4	pr03	Though its not a big deal, it would've been nice to get it since they claim it comes with one.	Iako to nije toliko važno, bilo bi lijepo da sam je dobio jer tvrde da se isporučuje uz kupljeni proizvod.
review_cell-phones+accessories_47_1	pr04	Be careful	﻿Pazite
review_cell-phones+accessories_47_1	pr04	I bought 2 of this and tried to test first ... after few minutes of charging, it felt hot.	Kupio sam 2 komada i prvo sam ih pokušao testirati ... nakon par minuta punjenja, bio je vruć.
review_cell-phones+accessories_47_1	pr04	Pulled it out and the product smelled burnt.	Isključio sam ga i proizvod je mirisao po paljevini.
review_cell-phones+accessories_47_1	pr04	Tried the other one too and same thing.	Isprobao sam i drugi i dogodila se ista stvar.
review_cell-phones+accessories_47_1	pr04	Be careful... this one could be fire hazard or could potentially destroy the electrical system	Pazite... mogao bi izazvati požar ili potencijalno uništiti električni sustav
review_cell-phones+accessories_57_5	pr04	Perfect!	﻿Savršeno!
review_cell-phones+accessories_57_5	pr04	I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover.	Bila sam zabrinuta zbog ove narudžbe jer se slika na stranici s opisom stalno mijenjala u zeleno-narančastu masku koja izgleda lošije.
review_cell-phones+accessories_57_5	pr04	But alas, it came a day earlier than expected, and the beautiful pink product expected!	Ali na kraju je došla dan prije očekivanog i dobila sam prekrasan rozi proizvod koji sam očekivala!
