abcnews.306755	st01	Warren plans to take a 'hard look' at running for president	Warren planira ozbiljno razmisliti o kandidaturi za predsjednicu
review_books_11_5	st04	If you like a good singalong, you will really enjoy the "Heavenly Hiway Hymns."	Ako volite dobro skupno pjevanje stvarno ćete uživati u "Heavenly Hiway Hymns".
review_books_11_5	st04	Be blessed.	Budite blagoslovljeni.
review_books_14_4	st05	Great hymn selection	Izvrstan odabir hvalospjeva
review_books_14_4	st05	The hymn selection in this edition is very fine, but the paper quality leaves something to be desired.	Odabir hvalospjeva u ovom je izdanju vrlo dobar, ali kvaliteta papira baš i nije zadovoljavajuća.
review_books_14_4	st05	For a book in which singers are going to be thumbing through, using the index, turning pages as directed, the paper quality does not look like it will stand up to long term use.	Za knjigu koju će pjevači prolistati, koristeći se kazalom, okrećući stranice prema uputama, malo je izgledno da će kvaliteta papira potrajati.  
review_books_1_4	st06	Show me the money!	Uberi lovu!
review_books_1_4	st06	Interesting Grisham tale of a lawyer that takes millions of dollars from his firm after faking his own death.	Grishamova intrigantna priča o odvjetniku koji uzme milijune dolara od svoje tvrtke nakon što je lažirao svoju smrt.
review_books_1_4	st06	Grisham usually is able to hook his readers early and ,in this case, doesn't play his hand to soon.	Grisham obično zaintrigira čitatelja vrlo rano te, u ovom slučaju, ne otkriva previše na početku.
review_books_1_4	st06	The usually reliable Frank Mueller makes this story even an even better bet on Audiobook.	Obično pouzdani Frank Mueller lik je koji će vas još više privući putem audioknjige.
review_books_16_1	st07	Not worth the $$	Nije vrijedno tih $$
review_books_16_1	st07	This is a very cheaply made product.	Ovo je vrlo jeftino napravljen proizvod.
review_books_16_1	st07	I would not pay 1$ for this.	Za to ne bih platio ni 1$.
review_books_16_1	st07	The paper is cheap and flimsy--the book will not even stay open (with fear of ripping the binding) so that I can open up to put on piano stand to play.Don't buy this version.	Papir je jeftin i slab - knjiga ne može ostati otvorena (u strahu da se ne podere uvez) ni da bih je stavio na stalak na klaviru kako bih mogao svirati. Ne kupujte tu inačicu. 
review_books_172_1	st08	Kindle Sample	﻿Pretpregled Kindle knjige
review_books_172_1	st08	I adore this book and must have misplaced it somewhere.	Obožavam ovu knjigu i sigurno sam je negdje zametnuo/la.
review_books_172_1	st08	I was curious to see how the Kindle version was, due to things like formatting issues that sometimes occur.	Bio/la sam znatiželjna vidjeti kako izgleda Kindle verzija zbog mogućih problema s formatima koji se ponekad javljaju.
review_books_172_1	st08	Disappointingly, the free sample is only the forward.	Nažalost, besplatni pretpregled knjige nudi samo predgovor.
review_books_172_1	st08	Not even one page of the book.	Čak ni jednu jedinu stranicu knjige.
review_books_172_1	st08	The price is not bad in comparison to some Kindle editions, but the sample definitely didn't let me check out the book at all.	Cijena nije loša u usporedbi s nekim izdanjima Kindlea, ali ovaj pretpregled definitivno nije bio dovoljan.
review_books_18_4	st09	Dated but Valuable Reading	Zastarjelo, ali i dalje vrijedno čitanja
review_books_18_4	st09	It is amazing that this book is nearly 15 years old, and further that Bill Gates was so spot on with the current technology that we see today.	Nevjerojatno da je ova knjiga stara gotovo 15 godina i još to da je Bill Gates bio toliko precizan u vezi ove tehnologije koju danas upotrebljavamo.
review_books_18_4	st09	It is a good read to see both the vision of this truly amazing entrepreneur, as well as to get an idea of how to think about technology enabling daily life.	Vrijedno je pročitati knjigu da vidite viziju ovog inovativnog poduzetnika, a i da dobijete ideju kako razmišljati o tome da tehnologija omogućava svakondevni život.
review_books_18_4	st09	Listen to what Bill gates says about the future of technology in your life - the past would indicate he knows what he's talking about.	Poslušajte što Bill Gates kaže o budućnosti tehnologije u vašim životima -- prema prošlosti bi se dalo zaključiti da zna o čemu priča.
review_books_19_4	st10	Logical follow-up to Tailchaser's Song	Smislen nastavak romana Tailchaser's Song
review_books_19_4	st10	This work bears deep connections to themes first explored in Tad Williams' original breakout novel, about a brave young cat who travels to an underground netherworld to face an ancient evil.	Teme ovog romana duboko su povezane s temama originalnog romana Tada Williamsa kojim se predstavio na tržištu. U njemu se radi o hrabroj mladoj mački koja putuje u podzemni svijet kako bi se suočila s drevnim zlom.
review_books_19_4	st10	As the owner of two cats myself, after the second read-through, I realized that this novel has much to teach about the critical importance of dealing with fur and dust.I could only give four stars, though, because the cats do not agree, and indeed wish I had not made this purchase.	Budući da sam i sam vlasnik dvije mačke, nakon drugog čitanja uvidio sam da nas ovaj roman može puno toga naučiti o iznimnoj važnosti bavljenja krznom i prašinom. Međutim, mogu ga ocijeniti samo s četiri zvjezdice, i to jer se mačke ne slažu, a i zato što bi mi zaista bilo draže da nisam kupio ovu knjigu.
review_books_233_1	st11	Excellent	Odlično
review_books_233_1	st11	Those that I stared I have and would recommend to others.	One kojima sam dodijelio zvjezdice preporučio bih i drugima, već i jesam.
review_books_233_1	st11	Payne did an excellent job of describing the market for on who hasn't a financial background.	Payne je odlično objasnio tržište za ljude koji nisu financijski obrazovani.
review_books_233_1	st11	Have enjoyed the prophet (book) for years and the recording of same by Harris I wore out 33rpm vinyl in college and replaced it with cd when it became available.	Godinama uživam u čitanju Proroka (u fizičkom obliku), a audio verziju koju je snimio Harris imao sam na LP ploči koju sam izlizao u studentskim danima i umjesto nje nabavio CD čim se pojavio na tržištu.
review_books_268_2	st12	We all know the text, but	Svima nam je poznato ovo djelo, ali 
review_books_268_2	st12	this book is a small version of the original.	ova knjiga umanjena je verzija originala. 
review_books_268_2	st12	I ordered it and when I opened it I was very disappointed to find that it is not the industry standard that I knew.	Naručio sam ju i bio sam jako razočaran kad sam shvatio da njene dimenzije ne odgovaraju meni poznatom industrijskom standardu.
review_books_268_2	st12	Then I went back to see if I missed something about the size in the description, but could not find any reference to it.	Poslije toga sam ponovno provjerio jesam li u opisu proizvoda previdio neki podatak o formatu knjige, ali nisam pronašao ništa o tome. 
review_books_268_2	st12	On a positive note, Amazon's return policy is amazing.	S druge strane, Amazonova politika povrata robe je nevjerojatna. 
review_books_268_2	st12	Immediate Credit when informed of the problem and the return shipping was very easy.	Uplatili su mi novac na račun čim sam ih obavijestio o problemu, a poslati knjigu natrag bilo je vrlo lako.
review_books_302_2	st20	In the land of the blind...	U zemlji slijepaca…
review_books_302_2	st20	This piece of literature promises enlightenment but fails to deliver.	Ovo djelo obećava prosvjećenje, ali u tome ne uspijeva.
review_books_302_2	st20	Though the transient prophet indeed speaks eloquently and his words inspire deep reflection, they fail to impart true understanding.	Iako prolazni prorok doista govori elokventno i njegove riječi nadahnjuju duboko promišljanje, ne uspijevaju pružiti stvarno razumijevanje.
review_books_302_2	st20	The initial discourse on love is riveting but what follows quickly descends into empty rhetorical musings which continue until the bitter end.	Početni diskurs o ljubavi doista je zanimljiv, ali ono što slijedi ubrzo prelazi u isprazna retorička razmišljanja koja se nastavljaju do samoga kraja.
review_books_302_2	st20	The most entertaining aspect of this book is the artful use of language which almost masks the fact that the prophet indeed speaks but says nothing.	Najzanimljiviji aspekt ove knjige jest umijeće jezika koje gotovo prikriva činjenicu da prorok doista govori, ali ništa ne kaže.
review_books_311_1	st14	Book in Shambles When Received	﻿Knjiga u komadima pri primitku
review_books_311_1	st14	DO NOT BUY FROM THIS BOOK FROM Amazon.com LLC .	NE KUPUJTE OVU KNJIGU S Amazon.com LLC.
review_books_311_1	st14	I ordered this book earlier in the week with Amazon Prime for a going away gift.	Naručila sam ovu knjigu ranije ovog tjedna preko Amazon Primea kao oproštajni poklon.
review_books_311_1	st14	I received the book today.	Knjiga je stigla danas.
review_books_311_1	st14	The party is tomorrow.	Zabava je sutra.
review_books_311_1	st14	Half of the book sleeve seems to have been cut off with an exacto knive, also leaving gashes in the book cover.	Čini se da je polovica omota knjige odrezana skalpelom, što je ostavilo i posjekotine na naslovnici.
review_books_311_1	st14	The packaging was fine.	Ambalaža je u redu.
review_books_311_1	st14	I could return it but it wouldn't come back before tomorrow.	Mogla bih ju vratiti, ali do sutra ne bih dobila novu.
review_books_311_1	st14	Spend extra and use another seller.	Potrošite malo više i kupite od drugog prodavača.
review_books_5_5	st15	I was disappointed that you would only allow me to purchase 4 when your inventory showed that you had 14 available.	﻿Razočaralo me to što sam mogla naručiti samo 4 kada je u inventaru bilo dostupno još 14.
review_books_5_5	st15	We have many of the old, old issue.	Imamo puno primjeraka starog, starog izdanja.
review_books_5_5	st15	But the number had depleted.	Ali te su pri kraju.
review_books_5_5	st15	There were not  enough books to allow us to use them regularly.	Nije bilo dovoljno knjiga da ih možemo redovito koristiti.
review_books_5_5	st15	With the additional supply the books will be used more often.	Kad bismo dobili veću količinu, knjige bi se češće koristile.
review_books_5_5	st15	They arre a good old standby for gospel singing.	One su dobra rezervna opcija za crkveno pjevanje.
review_books_77_2	st16	If you're looking for a tiny printed novelty you'll love this	﻿Ako tražite mali isprintani novitet, ovo će Vam se svidjeti.
review_books_77_2	st16	I've always loved The Prophet and I've read it many times.	Uvijek sam volio Proroka i pročitao sam ga puno puta. 
review_books_77_2	st16	I gave away my last copy and was looking for a replacement.	Poklonio sam svoj zadnji primjerak i tražio sam drugi. 
review_books_77_2	st16	I purchased this copy only to find that it was a tiny novelty version of the book.	Kupio sam ovaj primjerak da bih tek kasnije shvatio da se radi o sićušnoj novoj verziji knjige. 
review_books_77_2	st16	If you're looking for something tiny to keep in your purse then this is for you.	Ako tražite nešto sitno što će Vam stati u torbu, onda je ovo za Vas.
review_books_77_2	st16	If you're looking for a "real book" then this is a joke.	Ako tražite „pravu knjigu“, onda je ovo smiješno.
review_books_8_4	st17	Heavenly Highway Hymns	Heavenly Highway Hymns
review_books_8_4	st17	Heavenly Highway HymnsI ordered this hymnal because I learned to read shaped note music when I was a teenager.	Heavenly Highway Hymns Naručio sam tu pjesmaricu jer sam kao tinejdžer naučio čitati note.
review_books_8_4	st17	I play piano but do not sing.	Sviram klavir, ali ne znam pjevati.
review_books_8_4	st17	I am 85 years old.	Imam 85 godina.
review_books_8_4	st17	This hymnal has mostof the songs I have learned over the years.	Ova pjesmarica ima većinu pjesama koje sam kroz godine naučio.
review_books_8_4	st17	It was exactly what I wanted and needed.It was in good condition and the price was right.	To je točno ono što sam htio i trebao.Kupio sam ju u dobrom stanju i cijena je bila dobra.
review_books_8_4	st17	I purchased this book from Amazon.	Knjigu sam kupio preko Amazona. 
review_cd+vinyl_107_2	st18	Not worth the money	﻿Nije vrijedno novaca.
review_cd+vinyl_107_2	st18	The CD arrived in excellent conditons and promptly.	CD je stigao u odličnom stanju i jako brzo.
review_cd+vinyl_107_2	st18	The merchandise is not worth the money.	Robu ne vrijedi kupovati.
review_cd+vinyl_107_2	st18	Too much of the original story is missing in the interest of cramming it in one CD.	Previše originalne priče je izostavljeno kako bi stala na jedan CD.
review_cd+vinyl_107_2	st18	Will leave you with a lot of questions on how did sherlock homes arrived at his results.	Na kraju će Vam ostati puno neodgovorenih pitanja o tome kako je Sherlock Holmes došao do svojih rezultata.
review_cd+vinyl_107_2	st18	Your imagination will not be enough to fill out the gaps in the narrative.	Vaša Vam mašta neće biti dovoljna da popunite rupe u priči.
review_cd+vinyl_110_1	st19	Get the 13-disc box set from AmazonUK!	﻿Kupite box set od 13 diskova na Amazonu UK!
review_cd+vinyl_110_1	st19	$117 on the secondary market for this inferior set?	117 dolara za ovaj rabljeni, inferiorni set?
review_cd+vinyl_110_1	st19	HA!	HA!
review_cd+vinyl_110_1	st19	Go to AMAZON UK and get the complete 13-disc set in a beautiful box set for about $84 shipped.	Idite na AmazonUK i kupite potpuni set od 13 diskova u prekrasnom box setu, koji će vam se dostaviti a oko 84 dolara.
review_cd+vinyl_110_1	st19	(I just received mine!	(Ja sam svoj upravo kupio!)
review_cd+vinyl_110_1	st19	)It doesn't take Marvin, with a brain the size of a planet, to see which is better.	Ne moraš biti Marvin i imati mozak veličine planeta da bi skužio koja je opcija bolja.
review_cd+vinyl_113_2	st20	Original Audio CD Verison Still Available	Originalna Audio CD verzija još je dostupna
review_cd+vinyl_113_2	st20	With regard to concerns about the audio quality of the this MP3 version, the original audio CD version ("The Collector's Edition"), an 8-CD set, is still available from Amazon UK.	U vezi zabrinutosti o kvaliteti zvuka ove MP3 verzije, originala audio CD verzija („The Collector's Edition“), set od 8 CD-ova još je dostupan na Amazon UK.
review_cd+vinyl_113_2	st20	I paid a little more than twice the MP3 price.	Platio sam malo više od dvostruke cijene MP3-a.
review_cd+vinyl_113_2	st20	The ISBN number of the Audio CD version is 0-563-47702-4.	ISBN broj audio CD verzije je 0-563-47702-4.
review_cd+vinyl_12_5	st01	Keith Green - Relevant for the Ages	Keith Green - Relevantan za sva vremena
review_cd+vinyl_12_5	st01	Though it has been over 3 decades since Keith left this life, his music still resonates with truth.	Iako su prošla tri desetljeća otkako je Keith otišao s ovog svijeta, njegova glazba još uvijek odzvanja istinom.
review_cd+vinyl_12_5	st01	This was one of the first albums I purchased of Keith's &#34;back in the day&#34;.	Ovo je bio jedan od prvih Keithovih albuma koje sam nekada kupio.
review_cd+vinyl_12_5	st01	What a sweet album of praise as he moves through the Psalms!	Kakav krasan album pun slave dok prolazi kroz psalme!
review_cd+vinyl_152_2	st02	NOT CLAPTION MUSIC VIDEO!  A Learn How To Play Guitar LIKE Clapton	NIJE CLAPTION GLAZBENI VIDEO! Video da naučiš svirati gitaru kao Clapton
review_cd+vinyl_152_2	st02	I bought this DVD and I'm returning it.	Kupio sam ovaj DVD i sad ga vraćam.
review_cd+vinyl_152_2	st02	The description and editorial review are misleading.	Opis i recenzija su pogrešni. 
review_cd+vinyl_152_2	st02	This is NOT a Clapton video.	Ovo NIJE Clapton video.
review_cd+vinyl_152_2	st02	Certainly some clips from Clapton, but generally this is a "how to" video.	Definitivno sadrži neke videoisječke Claptona, ali je ovo generalno "how to" video.
review_cd+vinyl_152_2	st02	Same applies to Clapton  The Early Years!	Isto vrijedi i za Claptonove The Early Years!
review_cd+vinyl_156_2	st03	NOT CLAPTION MUSIC VIDEO!  A Learn How To Play Guitar LIKE Clapton	NIJE CLAPTONOV GLAZBENI SPOT! Priručnik kako svirati gitaru POPUT Claptona
review_cd+vinyl_156_2	st03	I bought this DVD and I'm returning it.	Kupio sam ovaj DVD, a sada ga vraćam.
review_cd+vinyl_156_2	st03	The description and editorial review are misleading.	Opis i urednička recenzija proizvoda obmanjuju.
review_cd+vinyl_156_2	st03	This is NOT a Clapton video.	Ovo NIJE Claptonov video.
review_cd+vinyl_156_2	st03	Certainly some clips from Clapton, but generally this is a "how to" video.	Sigurno ima neke klipove Claptona, ali ovo je općenito priručnik.
review_cd+vinyl_156_2	st03	Also applies to Clapton The Solo Years.	Isto vrijedi i za Clapton The Solo Years.
review_cd+vinyl_159_2	st04	Don't waste your money.	Nemojte bezveze trošiti novac.
review_cd+vinyl_159_2	st04	This isn't worth your money.	Ovo ne vrijedi toliko.
review_cd+vinyl_159_2	st04	Doug runs through each song in about three or four minutes, he doesn't give you time to learn it.Unless you've already mastered transcribing (and then why buy this dvd?	Doug za tri-četiri minute prođe kroz svaku pjesmu, ne daje vam vremena da pjesmu naučite.Osim ako ste već svladali transkripciju (ali zašto biste onda kupili ovaj dvd?
review_cd+vinyl_159_2	st04	), you're going to be left to rewinding a million times to get the right notes.This is no better than a youtube video of someone playing a bunch of clapton songs.Doug doesn't even show you the rhythm or other guitar parts!	), morat ćete milijun puta vraćati pjesmu na početak da biste uhvatili točne note.Ovo nije ništa bolje od nekoga tko u YouTube videu svira hrpu Claptonovih pjesama. Doug čak ne pokaže ni ritam ni druge gitarske dionice! 
review_cd+vinyl_159_2	st04	You're left only knowing the lead!What sense does that make?	Naučite samo vodeću! Kakvog to smisla ima?
review_cd+vinyl_164_1	st05	Clapton Classics	Claptonovi klasici
review_cd+vinyl_164_1	st05	Very disappointing.	Iznimno razočaravajuće.
review_cd+vinyl_164_1	st05	This was advertised to be a "note-for-note" lesson on selected Clapton tunes, and it was not even close.	Ovo je bilo reklamirano kao "nota-po-nota" podučavanje o odabranim Claptonovim pjesmama, ali nije bilo ni blizu tome. 
review_cd+vinyl_164_1	st05	There was no tab to support the little (and sometime inaccurate) portions of the songs that were listed.	Nije bilo unosa za male (a ponekad i netočne) dijelove pjesama koje su bile na popisu.
review_cd+vinyl_164_1	st05	I sent a complaint directly to Hal Leonard, but never received the courtesy of a reply.	Uložio sam žalbu izravno Hal Leonardu, ali nikad nisam dobio odgovor. 
review_cd+vinyl_16_5	st06	Fave!	Jedna od najdražih!
review_cd+vinyl_16_5	st06	I bought this in LP form when it was brand new, recorded it onto a cassette so I could play it in my car, listened, and listened, and listened.	Kupio sam je u obliku gramofonske ploče kad je bila potpuno nova i presnimio na kasetu kako bih je mogao slušati u autu iznova i iznova.
review_cd+vinyl_16_5	st06	I have so missed listening to this (no longer have a turn-table) that I've finally reordered it on CD.	Tako mi je nedostajalo slušati je (naime, više ne posjedujem gramofon) da sam je konačno presnimio na CD.
review_cd+vinyl_16_5	st06	YAY!!	Jupi!!
review_cd+vinyl_16_5	st06	Can't wait to play it, and play it, and play it.	Jedva čekam da ju puštam opet i opet i opet.
review_cd+vinyl_16_5	st06	No one, absolutely no one wears his heart for God on his sleeve like Keith Green!	Nitko, apsolutno nitko ne pokazuje svoje emocije prema Bogu kao Keith Green!
review_cd+vinyl_16_5	st06	I can't wait to meet him in heaven.	Jedva čekam da ga upoznam u raju.
review_cd+vinyl_17_5	st07	Anointed!	Pomazan!
review_cd+vinyl_17_5	st07	I love the songs on this album and how Keith once again focuses all on the Good Shepherd, our Lord Jesus.	Sviđaju mi se pjesme na ovom albumu i kako Keith ponovno sve usredotočuje na Dobrog pastira, našeg Gospodina Isusa.
review_cd+vinyl_17_5	st07	The songs are timeless, the anointing is fresh even after all the years since they were written.	Pjesme su bezvremenske, pomazanje je svježe čak nakon svih godina nakon što je napisano.
review_cd+vinyl_17_5	st07	I think that's a sure sign of anointing is to see the fruit remain.	Mislim da je pravi znak pomazanja vidjeti njegove plodove.
review_cd+vinyl_23_5	st08	Wonderful!!!	﻿Predivno!!!
review_cd+vinyl_23_5	st08	I had had a cassette of this recording, and knew I loved it.	Imao/la sam kasetu s ovom snimkom i znao/la sam da mi se sviđa.
review_cd+vinyl_23_5	st08	I bought several of these CDs so that I could share with nephews, and friends, and keep one for myself.	Kupio/la sam nekoliko ovih CD-a kako bih ih mogao/la podijeliti nećacima i prijateljima, a jedan zadržati za sebe.
review_cd+vinyl_23_5	st08	Very gentle and easy to sleep to.	Vrlo nježno i lagano za ugodan san.
review_cd+vinyl_23_5	st08	Words are clearly sung, understandable.	Riječi su jasno i razumljivo otpjevane.
review_cd+vinyl_23_5	st08	It's been a blessing to me that I was anxious to find and pass on to others.	Blagoslovljen/a sam što sam ih uspjela pronaći i proslijediti drugima.
review_cd+vinyl_23_5	st08	Great for children-- I was a child when Grandma got me the tape.	Izvrsno za djecu…Bilo/a sam samo dijete kad mi je baka nabavila kasetu.
review_cd+vinyl_25_5	st14	Memories	﻿Uspomene
review_cd+vinyl_25_5	st14	My mother-in-law bought this video for my daughter when she was young.	Moja je punica kupila ovaj video mojoj kćeri kad je bila mala.
review_cd+vinyl_25_5	st14	I was looking for videos the other day for my three year old granddaughter and came across this.	Neki dan sam tražila videe za moju trogodišnju unuku i naišla sam na ovo.
review_cd+vinyl_25_5	st14	My granddaughter LOVES this video.	Moja unuka OBOŽAVA ovaj video.
review_cd+vinyl_25_5	st14	She watches it OVER and OVER and OVER.	Ne može ga prestati gledati.
review_cd+vinyl_25_5	st14	It is older, dated and corny, but she loves it!	Star je, staromodan i otrcan, ali ona ga obožava!
review_cd+vinyl_25_5	st14	We even find ourselves singing the songs!	Čak pjevamo i pjesme!
review_cd+vinyl_7_5	st10	His last album is focused on Praise	Njegov je posljednji album usredotočen je na Slavu
review_cd+vinyl_7_5	st10	Keith Green / Songs for the Shepherd:  His previous albums were more focused on encouragement and correction towards the Church.	Keith Green/Songs for the Shepherd: Prethodni albumi stavljali su veći naglasak na poticanje odlaska u Crkvu i uzornije ponašanje. 
review_cd+vinyl_7_5	st10	This, his last, is focused on Praise.	Ovaj je posljednji album usredotočen na Slavu. 
review_cd+vinyl_7_5	st10	This one is still not as great as his first album, but it is a strong enough Praise album to earn Five Stars.	Ovaj album nije toliko dobar koliko i prvi, no dovoljno je dobar da dobije pet zvjezdica.
review_cd+vinyl_8_5	st11	This is album is absolutely Blessed!	Bog blagoslovio ovu ploču!
review_cd+vinyl_8_5	st11	As soon as it reached me, I played and listened to it and I had a flashback moment to the eighties when I heard it and when I saw him in concert just before his death.	Čim sam ju dobila, pustila sam ju i odslušala, vratilo me u osamdesete kad sam ju prvi put čula i kad sam ga vidjela uživo netom prije nego što je preminuo.
review_cd+vinyl_8_5	st11	I wept but smiled because I was soo blessed by the music and I hope you are encourage to get this as well.	Plakala sam, ali sa smiješkom jer sam se osjećala blagoslovljeno od glazbe. Nadam se da će vas to potaknuti da si i sami ovo nabavite.
review_cell-phones+accessories_102_1	st12	FAIL	KATASTROFA
review_cell-phones+accessories_102_1	st12	JUNK!!	SMEĆE!!
review_cell-phones+accessories_102_1	st12	!......This product must be miss labeled.	!......Ovaj proizvod sigurno je krivo označen.
review_cell-phones+accessories_102_1	st12	I can not get my Samsung S2 phone to charge with this OEM charger.	Ne mogu napuniti svoj Samsung S2 ovim originalnim punjačem.
review_cell-phones+accessories_102_1	st12	The lights are on, the phone says its charging but nothing happens.	Svjetlo je upaljeno i na mobitelu piše da se puni, ali ništa se ne događa.
review_cell-phones+accessories_102_1	st12	I am not sure if I got a defective product but it is very upsetting to sit in your car for hours and not see your phone recharge.	Ne znam zasigurno je li mi poslan defektan proizvod, ali jako je frustrirajuće satima sjediti u autu i gledati kako se mobitel ne puni.
review_cell-phones+accessories_102_1	st12	If you need a reliable charger, DO NOT purchase this product.If you need a car charger for your Samsung S2, I would recommend the Motorola Vehicle Power Adapter.	Ako vam treba pouzdan punjač, NEMOJTE kupiti ovaj proizvod.Ako vam treba auto punjač za Samsung S2, preporučujem Motorolin strujni adapter za vozila.
review_cell-phones+accessories_102_1	st12	It charges fast and is dependable.	Brzo puni i pouzdan je.
review_cell-phones+accessories_105_2	st13	LIGHT DUTY FAILURE	JEFTINI PROMAŠAJ
review_cell-phones+accessories_105_2	st13	WHAT A GREAT PRICE!RIGHT OUT OF THE BOX, PLUG N UPLOAD SUM JUICE ...DON'T KNOW IF DROPPING IT REPEATEDLY ON THE FLOORBOARD,OR OCCASIONALLY STUFFING IT IN CONSOLE TO HIDE CAUSED FAILURE ...BUT SOON THE GREEN LIGHT FAILED TO LIGHT, AND PHONES DISPLAY SHOWEDIT WASN'T CHARGING.	KAKVA SJAJNA CIJENA!RAVNO IZ KUTIJE, SAMO GA UŠTEKAJTE I PUNJENJE POČINJE ...NE ZNAM JE LI TO ZBOG TOGA ŠTO MI JE VIŠE PUTA PAO NA POD ILI ŠTO SAM GA GURAO U KONZOLU KAKO BIH SAKRIO KVAR ...NO ZELENO SE SVJETLO UBRZO VIŠE NIJE PALILO, A ZASLON MOBITELA NIJE PRIKAZIVAO DA SE PUNI.
review_cell-phones+accessories_105_2	st13	SO EITHER SPEND SEVERAL MORE DOLLARS FOR ONE WITHA HEAVIER CORD/STRONGER SHELL OR TREAT IT AS A DELICATE FLOWER.	ZATO ILI POTROŠITE PAR DOLARA VIŠE NA PUNJAČ S DEBLJIM KABLOM/ČVRŠĆOM KUTIJOM ILI S NJIME POSTUPAJTE KAO S NJEŽNIM CVIJETOM.
review_cell-phones+accessories_117_1	st14	Stopped Working after 1 1/2 month..	﻿Prestao je raditi nakon jednog i pol mjeseca.
review_cell-phones+accessories_117_1	st14	This thing worked well when it actually functioned, but today it stopped working and I am past the 30 day return window by 10 days give or take.I'm guessing the quality might not be great as that is why it stopped working, who knows.. What a waste of money.	Ova stvarčica bila je dobra dok je zapravo funkcionirala, ali danas je prestala raditi, a razdoblje za povrat od 30 dana prošlo je prije nekih 10 dana. Pretpostavljam da kvaliteta možda nije najbolja, budući da je zato prestao raditi, tko zna... Šteta novca.
review_cell-phones+accessories_12_5	st07	A Winner	Pobjednik
review_cell-phones+accessories_12_5	st07	This is the first battery case I have had for my Galaxy S4.	Ovo mi je prva maska s baterijom otkad imam Galaxy S4.
review_cell-phones+accessories_12_5	st07	The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4.	Dobro pristaje mojoj S četvorci, tanka je i ne daje puno na težini Galaxy S četvorci.
review_cell-phones+accessories_12_5	st07	It doubles the battery life.	Povećava vijek trajanja baterije za duplo.
review_cell-phones+accessories_12_5	st07	You can charge either the battery, the phone or both.	Možete puniti bateriju, mobitel ili oboje.
review_cell-phones+accessories_12_5	st07	There is a handy on-off switch with leds to indicate the level of charge.The battery case came on time and was packaged well.	Ima i zgodan prekidač s led lampicama koje pokazuju razinu napunjenosti. Maska s baterijom došla je na vrijeme i bila je dobro zapakirana.
review_cell-phones+accessories_12_5	st07	Well worth the price.	Vrijedi svake lipe.
review_cell-phones+accessories_127_1	st16	Unfortunate item.	﻿Nezgodni artikl. 
review_cell-phones+accessories_127_1	st16	I received this product in a very timely manner which was delightful, however, I gave it as a gift and was embarrassed to find out it was a defective item.	Zaprimila sam ovaj proizvod na vrijeme, što je bilo sjajno. Međutim, poklonila sam ga i bilo mi je neugodno kad sam otkrila da je bio neispravan. 
review_cell-phones+accessories_127_1	st16	I was reimbursed for the product but would have much rather had a product that worked the first time.	Dobila sam povrat novaca za njega, ali bilo bi mi draže da sam dobila proizvod koji je radio isprve.
review_cell-phones+accessories_132_1	st17	Not Very Good!	Nije baš nešto!
review_cell-phones+accessories_132_1	st17	Had all the marking of a legit samsung product but the cord stop working after 3 days.	Proizvod je imao sve oznake pravog samsungovog proizvoda, ali je kabel prestao raditi nakon 3 dana.
review_cell-phones+accessories_132_1	st17	I'm not upset because it was very inexpensive but maybe you should spend a little more and buy a better product off amazon.	Nisam ljut jer je bilo dosta jeftino, ali bi možda bila dobra ideja da potrošite malo više i kupite bolji proizvod s amazona.
review_cell-phones+accessories_132_1	st17	When it did work it worked very well.	Dok je radio, radio je dobro.
review_cell-phones+accessories_13_5	st18	Absolutely love the case !!	﻿Oduševljena sam ovom maskicom! 
review_cell-phones+accessories_13_5	st18	Performs exactly as advertised .	Ista je kao i na reklami.
review_cell-phones+accessories_13_5	st18	It's very  sturdily built,and provides lots of boost .	Solidno je napravljena i ima odličnu podršku.
review_cell-phones+accessories_13_5	st18	It does exactly what it's supposed too .Easy to insert phone in and out .	Radi upravo ono za što je namijenjena. Jednostavna je za umetanje i vađenje mobitela.
review_cell-phones+accessories_13_5	st18	Definitely a 5 star experience.	Definitivno iskustvo koje zaslužuje 5 zvjezdica.
review_cell-phones+accessories_13_5	st18	Don't know what I would do without this case LOVE LOVE LOVE it.	Ne znam što bih bez ove maskice – O-BO-ŽA-VAM ju.
review_cell-phones+accessories_25_4	st19	Works great	Super radi. 
review_cell-phones+accessories_25_4	st19	I have several chargers.	Imam nekoliko punjača. 
review_cell-phones+accessories_25_4	st19	Have more than one vehicle so I keep more than one of these in each.	Imam više vozila i svaki punjač držim u jednom. 
review_cell-phones+accessories_25_4	st19	Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone.	Nema ništa gore nego kad odjedanput shvatiš da ti punjač ne radi i ne možeš napuniti mobitel . 
review_cell-phones+accessories_25_4	st19	That is always when you need it most.	To se uvijek dogodi kad ti mobitel hitno treba. 
review_cell-phones+accessories_25_4	st19	This one works well for any of my products.	Ovaj se slaže sa svim mojim spravama. 
review_cell-phones+accessories_28_4	st20	Solid Charger but RF noisy	Solidan punjač ali RF je glasna
review_cell-phones+accessories_28_4	st20	This is a nice charger but you can tell it was made cheaply in China.	Dobar je punjač ali jasno je da je napravljen jeftino u Kini.
