abcnews.306755	st8	Warren plans to take a 'hard look' at running for president	Элизабет Уоррен планирует рассмотреть свою кандидатуру на пост президента
reuters.218933	st9	Trump's accusation that Beijing was trying to meddle in U.S. elections marked what U.S. officials told Reuters was a new phase in an escalating campaign by Washington to put pressure on China.	Обвинение Трампом Пекина в попытках вмешательства в американские выборы ознаменовало собой то, что, как сообщили Reuters представители власти США, является новой фазой проводимой Вашингтоном кампании эскалации, призванной оказать давление на Китай.
reuters.218933	st9	While it is normal for foreign governments to place advertisements to promote trade, Beijing and Washington are currently locked in an escalating trade war that has seen them level rounds of tariffs on each other's imports.	Правительства других стран свободно размещают рекламные объявления в целях продвижения торговли, однако Пекин и Вашингтон сейчас застряли в набирающей обороты торговой войне, в ходе которой они устраивают всё новые раунды повышения пошлин на импорт друг друга.
reuters.218933	st9	China's retaliatory tariffs early in the trade war were designed to hit exporters in states such as Iowa that supported Trump's Republican Party, Chinese and U.S. experts have said.	По словам китайских и американских экспертов, в начале торговой войны карательные пошлины Китая должны были ударить по экспортёрам в штатах, которые поддерживали Республиканскую партию Трампа, таких, как Айова.
reuters.218933	st9	Terry Branstad, the U.S. ambassador to China and the former longtime governor of Iowa, a major exporter of agricultural goods to China, said Beijing had hurt American workers, farmers and businesses.	Терри Бранстед, посол США в Китае и бывший губернатор Айовы, дольше всех пребывавший на этом посту, крупный экспортёр сельскохозяйственной продукции в Китай, сказал, что Пекин ударил по американским рабочим, фермерам и предпринимателям.
reuters.218933	st9	China, Branstad wrote in an opinion piece in Sunday's Des Moines Register, "is now doubling down on that bullying by running propaganda ads in our own free press."	Как пишет Бранстед в своей авторской статье в воскресном выпуске Des Moines Register, Китай «сейчас с двойной силой прибегает к буллингу посредством размещения пропагандистской рекламы в нашей свободной прессе».
reuters.218933	st9	"In disseminating its propaganda, China's government is availing itself of America's cherished tradition of free speech and a free press by placing a paid advertisement in the Des Moines Register," Branstad wrote.	«Распространяя свою пропаганду путём размещения платной рекламы в Des Moines Register, правительство Китая пользуется правами свободы слова и свободы печати, которыми Америка очень дорожит», – пишет Бранстед.
reuters.218933	st9	"In contrast, at the newsstand down the street here in Beijing, you will find limited dissenting voices and will not see any true reflection of the disparate opinions that the Chinese people may have on China's troubling economic trajectory, given that media is under the firm thumb of the Chinese Communist Party," he wrote.	«В противоположность этому, здесь, в газетах, продающихся в киосках на улицах Пекина, вы найдёте не так уж много оппозиционных мнений и не увидите справедливого отражения различных мнений жителей Китая по поводу тревожной траектории китайской экономики, учитывая, что СМИ находятся под контролем Коммунистической партии Китая», – написал он.
reuters.218933	st9	He added that "one of China's most prominent newspapers dodged the offer to publish" his article, although he did not say which newspaper.	Бранстед также добавил, что «одна из крупнейших китайских газет отклонила предложение о публикации» его статьи, хотя название газеты он не уточнил.
reuters.276702	st9	'How dare you?' Thunberg's U.N. speech inspires Dutch climate protesters	«Как вы смеете?» Речь Тунберг в ООН вдохновила нидерландских школьников на борьбу за климат
reuters.276702	st9	Thousands of Dutch children skipped school to join a global climate strike on Friday, blocking traffic and asking their leaders "how dare you?" in a reference to Swedish teenage activist Greta Thunberg's speech at the United Nations.	В пятницу в Нидерландах тысячи детей прогуляли школьные занятия, чтобы присоединиться к глобальной забастовке за климат. Протестующие заблокировали движение транспорта и обратились к властям с вопросом «как вы смеете?», отсылая к речи шведской школьницы-активистки Греты Тунберг в ООН.
reuters.276702	st9	A participant holds a drawing depicting Swedish environmental activist Greta Thunberg during a protest march to call for action against climate change, in The Hague, Netherlands September 27, 2019. REUTERS/Piroschka van de Wouw	Участник марша протеста за принятие мер против изменения климата держит рисунок, изображающий шведскую экологическую активистку Грету Тунберг. Гаага, Нидерланды. 27 сентября 2019. REUTERS/Пирошка ван де Ваув
reuters.276702	st9	Turnout at the march in The Hague exceeded expectations with organizers estimating the crowd at about 35,000. Police were forced to reroute the march to a location with more space.	Количество участников марша в Гааге превысило все ожидания: по оценкам организаторов, собралось около 35 000 человек. Полиции пришлось перенаправить марш в другой район, способный вместить многочисленную толпу.
reuters.276702	st9	Thunberg, 16, gave an impassioned address at the United Nations in New York this week, after millions of people worldwide joined a climate strike protest last Friday in the run-up to a U.N. climate summit.	На этой неделе шестнадцатилетняя Тунберг выступила на саммите ООН по климату, проходившем в Нью-Йорке, с пламенной речью, после того, как в прошлую пятницу в преддверии саммита миллионы людей по всему миру присоединились к забастовке за климат.
reuters.276702	st9	"This strike is going to have a lot of effect when people keep showing up, not just today but also in the future and we see different kinds of people from all walks of life," said protester Reinder Rustema.	«Эта забастовка будет иметь большое влияние, если люди будут в ней участвовать не только сегодня, но и в дальнейшем, и сюда приходят очень разные люди из разных слоёв населения», — сообщил один из протестующих Райндер Рустема.
reuters.276702	st9	Banging drums and holding pictures of Thunberg, protesters walked through the city center with placards reading: "For the Greta good," "Don't be a fossil fool," and "You will die of old age, we will die of climate change."	Протестующие прошли через центр города, стуча в барабаны и неся портреты Тунберг, а также плакаты с надписями «For the Greta good» (игра слов, основанная на созвучии имени Греты и слова «greater» в словосочетании «for the greater good» – «во имя всеобщего блага»), «Don't be a fossil fool» (игра слов: don't be a fool – не будь дураком, fossil fuel – ископаемое топливо) и «Вы умрёте от старости, мы умрём от климатических изменений».
reuters.276702	st9	"I understand their concerns, I believe they are being heard," Dutch Prime Minister Mark Rutte told journalists at a weekly press briefing within earshot of the protests. "We have presented very ambitious plans to deal with these problems. But we have to do it in a smart way, which also creates jobs."	«Я понимаю их беспокойство, и думаю, что их призывы слышат», - сообщил журналистам премьер-министр Нидерландов Марк Рютте во время еженедельной пресс-конференции, проходившей под доносящиеся звуки протеста. «Мы представили очень амбициозные планы решения этих проблем. Но нужно претворять их в жизнь с умом, и для их воплощения необходимо создать новые рабочие места».
reuters.276702	st9	Thunberg's brief address electrified the start of the summit aimed at mobilizing government and business to break international paralysis over carbon emissions, which hit record highs last year despite decades of warnings from scientists.	Короткое выступление Тунберг взбудоражило начало саммита, направленного на мобилизацию правительства и бизнес-сферы для выхода из мировой тупиковой ситуации вокруг уровня выбросов углерода, который в прошлом году достиг рекордно высокого значения несмотря на десятилетия предупреждений со стороны учёных.
reuters.276702	st9	"This is all wrong. I shouldn't be up here. I should be back in school on the other side of the ocean yet you all come to us young people for hope. How dare you?" she said, her voice quavering with emotion.	«Это всё неправильно. Я не должна быть здесь. Я должна быть в школе по ту сторону океана, а вы приходите к нам, молодым людям, за надеждой. Как вы смеете!» - сказала Грета Тунберг звенящим от эмоций голосом.
reuters.276702	st9	The Netherlands, with 17 million inhabitants, generated less than 7 percent of all energy from sustainable sources in 2017, compared to 15 percent in Germany and over half of all energy in Sweden.	В 2017 году в Нидерландах, численность населения которых составляет 17 миллионов человек, менее 7% от всего объёма полученной энергии было произведено из устойчивых источников, по сравнению с 15% в Германии и более половины от всего объёма энергии в Швеции.
reuters.276702	st9	The government has pledged to halve CO2 emissions from 1990 levels by 2030, but by 2017 had only achieved a 13 percent cut.	Правительство обязалось к 2030 году вдвое сократить выбросы углерода с уровня 1990 года, но к 2017 году уровень выбросов понизился всего на 13%.
reuters.276702	st9	Thunberg was taking part in a protest in Canada on Friday where U.N. aviation leaders were gathering in Montreal to discuss plane emissions targets.	В пятницу Тунберг участвовала в протесте в Канаде, в то время как в Монреале проходило заседание Ассамблеи ICAO, посвящённое обсуждению целевых показателей по выбросам в авиации.
rt.com.91337	st9	Macedonians go to polls in referendum on changing country's name	Жители Македонии проголосуют на референдуме по переименованию страны
rt.com.91337	st9	Voters will vote Sunday on whether to change their country's name to the "Republic of North Macedonia."	В воскресенье народ проголосует, нужно ли сменить название страны на «Республика Северная Македония».
rt.com.91337	st9	The popular vote was set up in a bid to resolve a decades-long dispute with neighboring Greece, which has its own province called Macedonia.	Общенародное голосование было организовано с целью разрешить длящийся более двадцати лет спор между Македонией и соседней Грецией, одна из провинций которой так же называется Македония.
rt.com.91337	st9	Athens has long insisted that its northern neighbor's name represents a claim on its territory and has repeatedly objected to its membership bids for the EU and NATO.	Афины уже долгое время настаивают, что название их северного соседа выражает территориальные претензии на провинцию Македония, и неоднократно выступали против запроса страны на вступление в ЕС и НАТО.
rt.com.91337	st9	Macedonian President Gjorge Ivanov, an opponent of the plebiscite on the name change, has said he will disregard the vote.	Президент Македонии Георге Иванов, противник референдума по смене названия страны, сказал, что не будет участвовать в голосовании.
rt.com.91337	st9	However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.	Однако сторонники референдума, в том числе премьер-министр Зоран Заев, настаивают, что смена названия – это всего лишь плата за вступление в ЕС и НАТО.
scotsman.133753	st9	Eilidh Doyle will be "voice for athletes" on Scottish Athletics board	Эйлид Дойл станет «голосом спортсменов» в совете директоров шотландской спортивной организации «Scottish Athletics».
scotsman.133753	st9	Eilidh Doyle has been elected to the board of Scottish Athletics as a non-executive director at the governing body's annual general meeting.	На ежегодном собрании руководителей «Scottish Athletics» Эйлид Дойл была избрана в состав совета директоров в качестве независимого директора.
scotsman.133753	st9	Doyle is Scotland's most decorated track and field athlete and chairman Ian Beattie described the move as a great opportunity for those guiding the sport to benefit from her wide-ranging experience at international level over the past decade.	Дойл является самым титулованным легкоатлетом в Шотландии, и председатель совета директоров Иэн Битти назвал этот шаг отличной возможностью для руководителей спортивной отрасли извлечь пользу из богатого опыта выступлений Дойл на международном уровне на протяжении последних десяти лет.
scotsman.133753	st9	"Eilidh has massive respect across the Scottish, UK and world athletics community and we are sure athletics in Scotland would benefit hugely by bringing her on to the board," Beattie said.	«Эйлид очень уважают в шотландском, британском и мировом спортивном сообществе, и мы уверены, что её избрание в совет директоров принесёт огромную пользу развитию шотландского спорта», – сказал Битти.
scotsman.133753	st9	Doyle said: "I am keen to act as a voice for athletes and I am hoping I can really contribute and help guide the sport in Scotland."	«Я очень заинтересована в том, чтобы стать голосом спортсменов, и надеюсь, что смогу поспособствовать развитию спорта в Шотландии и помочь в вопросах регулирования спортивной сферы», – сообщила Дойл.
scotsman.133753	st9	The American, who won the 200 metres and 400 metres at the 1996 Games in Atlanta among his total of four Olympic golds and is now a regular BBC pundit, was left unable to walk after suffering a transient ischemic attack.	Американец, выигравший забеги на 200 и 400 метров на Летних Олимпийских играх в Атланте в 1996 году, завоевавший четыре золотых медали и являющийся постоянным комментатором на телеканале BBC, потерял возможность ходить после приступа транзиторной ишемической атаки.
scotsman.133753	st9	He wrote on Twitter: "A month ago today I suffered a stroke.	В своём твиттере он написал: «Месяц назад в этот день у меня случился приступ.
scotsman.133753	st9	I could not walk.	Я не мог ходить.
scotsman.133753	st9	Doctors said only time will tell if I will recover or to what degree.	Доктора сказали, что только время покажет, до какой степени я смогу восстановиться и смогу ли вообще.
scotsman.133753	st9	Its been grueling work but made a full recovery, re-learned how to walk and today doing agility drills!	Это была тяжёлая работа, но я полностью восстановился, заново научился ходить и сегодня делаю упражнения на координацию!
scotsman.133753	st9	Thanks for the messages of encouragement!"	Спасибо за ваши слова поддержки!»
scotsman.133765	st11	Ayr 38 - 17 Melrose: Unbeaten Ayr go top	«Эр» 38 – 17 «Мелроуз»: Непобедимый «Эр» залетает в топ
scotsman.133765	st11	Two late tries may have skewed the final result somewhat, but there is no doubt Ayr deserved to triumph in this wonderfully-entertaining Tennent's Premiership match of the day.	Две последние попытки, вероятно, отразились на окончательном результате, но «Эр», без сомнений, вполне законно может насладиться свои триумфом в самом невероятном и захватывающем матче Премьер-лиги Теннета.
scotsman.133765	st11	They now top the table, the only unbeaten side of the ten.	Теперь они возглавляют турнирную таблицу, единственные непобедимые из всей десятки.
scotsman.133765	st11	In the end, it was their superior defence, as much as their better chance-taking, which carried the home side and coach Peter Murchie had every right to be pleased.	Успех игрокам принесла не только превосходная игра в защите, но и удача, сопутствующая им, как хозяевам поля. Тренер команды, Питер Мерчи, может по праву гордиться ей.
scotsman.133765	st11	"We've been tested over our games this far, and we're still unbeaten, so I have to be happy," he said.	- Эти игры оказались для нас неплохой проверкой на прочность, и она показала, что нас не так уж легко победить, поэтому я просто не могу не радоваться, - прокомментировал он.
scotsman.133765	st11	Robyn Christie of Melrose said: "Credit to Ayr, they took their chances better than we did."	- Нужно отдать должное «Эру», они смогли воспользоваться выпавшими шансами удачнее, чем мы, - отметил Робин Кристи из команды «Мелроуз».
scotsman.133765	st11	Grant Anderson's 14th minute try, converted by Frazier Climo, put Ayr in front, but, a yellow card for Scotland cap Rory Hughes, released for the game by Warriors, allowed Melrose to make numbers tell and Jason Baggot grabbed an unconverted try.	Попытка Гранта Андерсона на 14 минуте с конверсией Фрейзера Климо дала «Эру» значительное преимущество, но желтая карточка для шотландского капитана Рори Хьюза, присужденная ему на игре с «Варриорз», позволила команде «Мелроуз» набрать очки и Джейсон Бэггот сумел реализовать попытку.
scotsman.133765	st11	Climo stretched the Ayr lead with a penalty, before, right on half-time, he scored then converted a solo try to make it 17-5 to Ayr at the break.	Лидерство «Эра» было ненадолго потеряно с пенальти Климо, но он все же забил перед перерывом, а затем реализовал сольную попытку, и к перерыву счет был уже 17-5 в пользу «Эра».
scotsman.133765	st11	But Melrose began the second half well and Patrick Anderson's try, converted by Baggot, reduced the leeway to five points.	Но "Мелроуз" хорошо начали второй тайм, и попытка Патрика Андерсона, реализованная Бэгготом, снизила отставание в счете до пяти очков.
scotsman.133765	st11	There was then a lengthy hold-up for a serious injury to Ruaridh Knott, who was stretchered off, and from the restart, Ayr surged further ahead through a Stafford McDowall try, converted by Climo.	Затем пришлось приостановить игру из-за серьезного растяжения Руарида Нотта, но, после этого «Эру» удалось вырваться вперед благодаря успешно реализованной попытке Стаффорда Макдауэла с конверсией Климо.
scotsman.133765	st11	Ayr acting captain Blair Macpherson was then yellow-carded, and again, Melrose made the extra man pay with an unconverted Bruce Colvine try, at the end of a spell of fierce pressure.	Действующий капитан команды «Эр», Блэр Макферсон, заработал желтую карточку, а игрок «Мелроуза» Брюс Колвин смог реализовать попытку в конце периода сильного давления.
scotsman.133765	st11	The home side came back, however, and when Struan Hutchinson was yellow-carded for tackling Climo without the ball, from the penalty line-out, MacPherson touched down at the back of the advancing Ayr maul.	Однако, ответ хозяев поля не заставил долго ждать, и когда Струан Хатчинсон получил желтую карточку за борьбу с Климо без меча со штрафной линии, Макферсон набрал очки с помощью тачдауна.
scotsman.133765	st11	Climo converted, as he did again almost from the restart, after Kyle Rowe gathered David Armstrong's box kick and sent flanker Gregor Henry away for the home side's fifth try.	Климо совершил конверсию, как и в самом начале после возобновления игры, а затем Кайл Роу подобрал бокс кик от Дэвида Армстронга и оттеснил фланкера Грегора Генри, дав своей команде шанс для реализации пятой попытки.
scotsman.133783	st11	Health secretary writes to EU workers at NHS Scotland over Brexit fears	Секретарь кабинета министров по воспросам здравоохранения обратилась к представителям ЕС в Национальной службе здравоохранения Шотландии по поводу опасений о Брексите
scotsman.133783	st11	The Health Secretary has written to EU staff working in Scotland's NHS to express the country's gratitude and wish for them to stay on post-Brexit.	Секретарь кабинета министров по вопросам здравоохранения написала сотрудникам ЕС, работающим в Национальной службе здравоохранения Шотландии, чтобы выразить благодарность страны и пожелать им остаться на посту после Брексита.
scotsman.133783	st11	Jeane Freeman MSP sent a letter with less than six months to go until the UK withdraws from the EU.	Член шотландского парламента, Джин Фримен отправила письмо менее чем за шесть месяцев до выхода Великобритании из ЕС.
scotsman.133783	st11	The Scottish Government has already committed to meet the cost of settled status applications for EU citizens working in its devolved public services.	Шотландское правительство взяло на себя обязательства по покрытию расходов на подачу заявлений о получении статуса беженцев для граждан ЕС, работающих в автономных государственных службах Шотландии.
scotsman.133783	st11	In her letter, Ms Freeman wrote: "Over the summer, negotiations between the UK and EU on withdrawal have continued, heading towards expected decisions this autumn.	В своем письме Фримен написала: "Переговоры между Великобританией и ЕС продолжались в течение лета, неизбежно двигаясь в сторону принятия решения этой осенью.
scotsman.133783	st11	But the UK Government has also been stepping up its preparations for a possible no-deal scenario.	Однако правительство Великобритании готовилось и к возможному сценарию с невозможность заключения соглашения.
scotsman.133783	st11	I know this must be a very unsettling time for all of you.	Я знаю, что это очень тревожное время для всех вас.
scotsman.133783	st11	That is why I wanted to reiterate now how much I value the contribution of every member of staff, regardless of their nationality.	Именно поэтому в очередной раз подчеркиваю, как высоко мы ценим вклад каждого сотрудника, независимо от его национальности.
scotsman.133783	st11	Colleagues from across the EU, and beyond, bring valuable experience and skills that strengthen and improve the work of the health service, and benefit the patients and communities we serve.	Наши коллеги со всего ЕС и за его пределами привносят ценный опыт и навыки, которые укрепляют и улучшают работу службы здравоохранения, а также помогают пациентам и сообществам, которым мы служим.
scotsman.133783	st11	Scotland is absolutely your home and we very much want you to stay here."	Шотландия – это, без всяких сомнений, ваш дом, и нам бы очень хотелось, чтобы вы его не покидали."
scotsman.133801	st11	Rangers' Graham Dorrans optimistic ahead of Rapid Vienna clash	Грэм Дорранс из команды «Рейнджерс»  в преддверии столкновения с «Рапидом» из Вены настроен оптимистично 
scotsman.133801	st11	Rangers host Rapid Vienna on Thursday, knowing that victory over the Austrians, following the impressive draw in Spain against Villarreal earlier this month, will put them in a strong position to qualify from Group G of the Europa League.	В четверг на поле «Рейнджерс» состоится матч с венской командой «Рапид». Победа над австрийцами сразу после впечатляющей ничьей в Испании против  «Вильярреала» в начале этого места делает позиции «Рейнджерс» довольно сильными и дает шансы на выход из группы G Лиги Европы.
scotsman.133801	st11	A knee injury prevented midfielder Graham Dorrans from making his first appearance of the season until the 2-2 draw with Villarreal but he believes Rangers can use that result as a springboard to greater things.	Из-за травмы колена полузащитник Грэм Дорранс не смог участвовать в играх до ничьей со счетом 2:2 с «Вильярреалом», но он считает, что именно эта ничья может стать толчком к дальнейшим достижениям для его команды.
scotsman.133801	st11	"It was a good point for us because Villarreal are a good side," said the 31-year-old.	- Это был удачный момент для нас, «Вильярреал» - сильная команда, - заявляет 31-летий полузащитник.
scotsman.133801	st11	"We went into the game believing we could get something and came away with a point.	- Мы верили в свои силы и знали, что сможем заработать очки  в этом матче.
scotsman.133801	st11	Maybe we could have nicked it in the end but, overall, a draw was probably a fair result.	Мы, может быть, и смогли бы взять верх над ними в конце, но, в целом, я считаю, что ничья – это справедливый результат.
scotsman.133801	st11	They were probably better in the first half and we came out in the second half and were the better side.	В начале матча они сыграли лучше, а мы разогнались ко второй половине и смогли перехватить инициативу.
scotsman.133801	st11	Going into Thursday, it's another big European night.	В четверг нас ждет еще одна большая Европейская ночь.
scotsman.133801	st11	Hopefully, we can get three points but that will be tough game because they had a good result in their last game but, with the crowd behind us, I'm sure we can push on and get a positive result.	Надеюсь, у нас получится взять три очка, но игра будет жесткой, потому что наши соперники отыграли свой последний матч с отличным результатом, но, с фанатской поддержкой за плечами мы сможем прорваться и добиться хороших показателей.
scotsman.133801	st11	Last year was definitely tough, between everything that happened with my injuries and the changes at the club itself but there's a feelgood factor about the place now.	Прошлый год выдался нелегким, моя травма и перемены в клубе сыграли свою роль, но во всем есть и положительная сторона.
scotsman.133801	st11	The squad's good and the boys are really enjoying it; the training's good.	У нас замечательная команда, и игрокам определенно нравится то, что они делают; тренировки эффективные.
scotsman.133801	st11	Hopefully, we can push on now, put last season behind us and be successful."	Надеюсь, мы сможем продвинуться, оставить все неприятности в прошлом сезоне и добиться успеха.
scotsman.133804	st11	Still Game star looks set for new career in restaurant industry	Звезда сериала «Все еще игра» решил построить карьеру в ресторанном бизнесе
scotsman.133804	st11	Still Game star Ford Kieran looks set to move into the hospitality industry after it was discovered he's been named as the director of a licensed restaurants company.	Похоже, что звезда шотландского ситкома «Все еще игра», Форд Киран, решил попробовать себя в сфере гостеприимства. Выяснилось, что он является директором лицензированных ресторанов.
scotsman.133804	st11	The 56-year-old plays Jack Jarvis on the popular BBC show, which he writes and co-stars with long-time comedy partner Greg Hemphill.	56-летний актер исполняет роль Джека Джарвиса в популярном сериале от BBC, который он пишет и снимает вместе со своим коллегой по комедийным фильмам, Грегом Хэмпфилом.
scotsman.133804	st11	The duo have announced that the upcoming ninth series will be the final one in the show's run, and it appears Kiernan is planning for life after Craiglang.	Дуэт объявил, что запланированный 9 сезон будет заключительным, и, как оказалось, Киран готовился к жизни после Крейгледнда.
scotsman.133804	st11	According to official record listings, he is the director of Adriftmorn Limited.	Согласно официальным записям, он является директором компании «Адрифтморн Лимитед».
scotsman.133804	st11	The actor declined to comment on the story, though a Scottish Sun source hinted that Kiernan was looking to get involved in Glasgow's "thriving restaurant trade."	Сам актер отказался давать комментарии относительно данной ситуации, но источник из «Скотиш Сан» намекнул, что Киран все же намеревался внести свой вклад в «процветающий ресторанный бизнес» Глазго.
seattle_times.7019	st11	Nancy Pelosi is subject of book by daughter Christine Pelosi	Героиней книги Кристны Пелоси станет Нэнси Пэлоси
seattle_times.7019	st11	An upcoming book on House Speaker Nancy Pelosi comes from someone who knows her well, daughter Christine Pelosi.	Автором ожидаемой книги о спикере Палаты представителей Нэнси Пэлоси станет человек, который очень хорошо ее знает – ее дочь, Кристина Пелоси.
seattle_times.7019	st11	"The Nancy Pelosi Way" will be released Nov. 26, Skyhorse Publishing announced Thursday. Christine Pelosi's book will examine how a mother of five became the first female house speaker and her current leadership of House Democrats during the Trump administration. According to Skyhorse, Christine Pelosi will weave together "the professional and personal experiences" of her mother.	Книга «Путь Нэнси Пелоси» выйдет 26 ноября, объявило в четверг издательство Скайхорс Паблишинг. Главной темой книги Кристины Пелоси станет история о том, как мать пятерых детей стала первой женщиной-спикером Палаты представителей и о том, как ей удалось сохранить лидирующие позиции демократов при администрации Трампа. Согласно издательству Скайхорс, в истории Кристины сплетутся воедино «профессиональный и личный опыт» ее матери.
seattle_times.7019	st11	Christine Pelosi is a Democratic Party strategist and author of "Campaign Boot Camp" and "Campaign Boot Camp 2.0." Pelosi's sister, Alexandra Pelosi, is a filmmaker and journalist who has made several documentaries about contemporary politics.	Кристина Пэлоси – политтехнолог Демократической партии и автор книг "Campaign Boot Camp" и "Campaign Boot Camp 2.0.", руководств по успешной компании. Ее сестра, Александра Пелоси – режиссер и журналист, снявшая несколько документальных фильмов о современной политике.
seattle_times.7452	st9	French chemical fire extinguished as questions mount	Пожар на химическом заводе во Франции ликвидирован, но появляются вопросы
seattle_times.7452	st9	French authorities and Normandy residents are clearing up residue from a huge fire at a chemical plant as a foul stench continues to spread over a swath of territory.	Французские власти и жители Нормандии убирают мусор, оставшийся после сильного пожара на химическом заводе, в то время как сильный неприятный запах продолжает распространяться по обширной территории.
seattle_times.7452	st9	No one was injured in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health risks and consequences for the nearby Seine River.	Пожар на заводе смазочных материалов в городе Руан произошёл в четверг, пострадавших нет, но жители обеспокоены возможной угрозой здоровью и вероятными последствиями для протекающей неподалёку реки Сены.
seattle_times.7452	st9	The head of the regional administration said Friday the fire was extinguished Thursday night after nearly 24 hours. Firefighters are still on the scene.	В пятницу глава региональной администрации сообщил, что пожар был потушен ночью четверга после 24 часов работы пожарных, которые всё ещё находятся на месте возгорания.
seattle_times.7452	st9	The administration warned of a new odor released after the fire was put out, saying it could spread to neighboring regions.	Местные власти предупредили о выбросах с неприятным запахом, появившихся после тушения пожара, и сообщили, что они могут распространиться в соседние регионы.
seattle_times.7452	st9	Interior Minister Christophe Castaner said people in fragile health should remain indoors through Friday night.	Министр внутренних дел Кристофер Кастанер сказал, что людям со слабым здоровьем не следует выходить на улицу в ночь пятницы.
seattle_times.7452	st9	The cause of the fire is being investigated. The plant is among the highest-risk industrial sites in Europe.	Причина возгорания всё ещё устанавливается. Завод входит в список европейских промышленных объектов с самым высоким риском возникновения промышленной опасности.
sky.com.20669	st11	Man set alight on doorstep 'in targeted attack'	Мужчину умышленно подожгли на собственном пороге 
sky.com.20669	st11	A man has been set alight on his doorstep in what police believe is a targeted attack.	Мужчина был подожжен на пороге собственного дома, полиция считает, что это было целенаправленное нападение.
sky.com.20669	st11	The 48-year-old was soaked in flammable liquid, believed to be petrol, before bursting into flames outside his home in Skelmersdale, West Lancashire.	Мужчину в возрасте 48 лет облили легковоспламеняющейся жидкостью, предположительно бензином, а затем подожгли на пороге собственного дома в Скелмерсдейле, в Западном Ланкашире.
sky.com.20669	st11	He is in hospital in a critical but stable condition after suffering serious burns.	На данный момент он находится в больнице с серьезными ожогами, его состояние оценивают как стабильно критическое.
sky.com.20669	st11	Police have launched an attempted murder inquiry after they were called to the man's house at about 1am on Thursday.	Полиция начала расследование о покушении на убийство сразу после вызова, поступившего из дома мужчины около часа ночи в четверг.
