abcnews.306755	prwmt	Warren plans to take a 'hard look' at running for president	Уоррен планирует "пристально следить" за президентской гонкой
rt.com.91337	prwmt	However, supporters of the referendum, including Prime Minister Zoran Zaev, argue that the name change is simply the price to pay to join the EU and NATO.	Однако сторонники референдума, включая премьер-министра Зорана Заева, утверждают, что переименование - это всего лишь цена, которую необходимо заплатить, чтобы присоединиться к ЕС и НАТО.
scotsman.133753	prwmt	Eilidh Doyle will be "voice for athletes" on Scottish Athletics board	Эйлид Дойл будет "голосом атлетов" в Совете легкой атлетики Шотландии
scotsman.133753	prwmt	Eilidh Doyle has been elected to the board of Scottish Athletics as a non-executive director at the governing body's annual general meeting.	На ежегодном общем собрании Совета легкой атлетики Шотландии Эйлид Дойл была избрана в состав этого руководящего органа как не-исполнительный директор.
scotsman.133753	prwmt	Doyle is Scotland's most decorated track and field athlete and chairman Ian Beattie described the move as a great opportunity for those guiding the sport to benefit from her wide-ranging experience at international level over the past decade.	Дойл - самая титулованная легкоатлетка Шотландии, и председатель Йен Битти охарактеризовал ее избрание как прекрасную возможность для тех, кто управляет спортом, воспользоваться ее обширным опытом на международном уровне за последние десять лет.
scotsman.133753	prwmt	"Eilidh has massive respect across the Scottish, UK and world athletics community and we are sure athletics in Scotland would benefit hugely by bringing her on to the board," Beattie said.	"Эйлид пользуется огромным уважением среди легкоатлетов Шотландии, Соединенного королевства и всего мира, и мы уверены, что легкая атлетика Шотландии получит огромную пользу от ее членства в совете", - сказал Битти.
scotsman.133753	prwmt	Doyle said: "I am keen to act as a voice for athletes and I am hoping I can really contribute and help guide the sport in Scotland."	Дойл заявила: "Я рада служить голосом легкоатлетов и надеюсь, что смогу внести реальный вклад и помочь управлению спортом в Шотландии".
scotsman.133753	prwmt	The American, who won the 200 metres and 400 metres at the 1996 Games in Atlanta among his total of four Olympic golds and is now a regular BBC pundit, was left unable to walk after suffering a transient ischemic attack.	Американец, который обладает четырьмя золотыми олимпийскими медалями, в том числе за победу в беге на 200 метров и 400 метров на Играх 1996 года в Атланте, а сейчас регулярно выступает экспертом на Би-Би-Си, потерял способность ходить после транзиторного ишемического приступа.
scotsman.133753	prwmt	He wrote on Twitter: "A month ago today I suffered a stroke.	Он написал в Твиттере: "Месяц назад я пережил инсульт.
scotsman.133753	prwmt	I could not walk.	Я не мог ходить.
scotsman.133753	prwmt	Doctors said only time will tell if I will recover or to what degree.	Доктора сказали, что только время покажет, восстановлюсь ли я и до какой степени.
scotsman.133753	prwmt	Its been grueling work but made a full recovery, re-learned how to walk and today doing agility drills!	Это была тяжелая работа, но я полностью восстановился, вновь научился ходить и сейчас делаю упражнения на ловкость!
scotsman.133753	prwmt	Thanks for the messages of encouragement!"	Спасибо за ободряющие письма!"
scotsman.133765	prwmt	Ayr 38 - 17 Melrose: Unbeaten Ayr go top	"Айр" 38 - 17 "Мелроуз": Непобежденная команда "Айр" поднимается наверх
scotsman.133765	prwmt	Two late tries may have skewed the final result somewhat, but there is no doubt Ayr deserved to triumph in this wonderfully-entertaining Tennent's Premiership match of the day.	Две последние попытки могли немного исказить результат, но нет сомнения, что команда "Айр" заслужила свой триумф в этом невероятно захватывающем матче дня на первенстве Теннентс.
scotsman.133765	prwmt	They now top the table, the only unbeaten side of the ten.	Теперь они - единственная непобежденная команда из десяти и возглавляют турнирную таблицу.
scotsman.133765	prwmt	In the end, it was their superior defence, as much as their better chance-taking, which carried the home side and coach Peter Murchie had every right to be pleased.	В конце концов, хозяевам принесло удачу преимущество в защите, а также умение лучше использовать предоставляющиеся возможности, и их тренер Питер Мерчи имеет полное право быть довольным.
scotsman.133765	prwmt	"We've been tested over our games this far, and we're still unbeaten, so I have to be happy," he said.	"Мы прошли испытание играми, и мы до сих пор не побеждены, так что я должен быть доволен", - сказал он.
scotsman.133765	prwmt	Robyn Christie of Melrose said: "Credit to Ayr, they took their chances better than we did."	Робин Кристи из "Мелроуз" сказал: "Айр - молодцы, они использовали свои возможности лучше, чем мы".
scotsman.133765	prwmt	Grant Anderson's 14th minute try, converted by Frazier Climo, put Ayr in front, but, a yellow card for Scotland cap Rory Hughes, released for the game by Warriors, allowed Melrose to make numbers tell and Jason Baggot grabbed an unconverted try.	На 14 минуте попытка Гранта Андерсона, реализованная Фрэзиером Климо, вывела "Айр" вперед, но желтая карточка, показанная шотландцу Рори Хьюгсу, отпущенному на эту игру из "Уорриорз", позволила "Мелроуз" использовать численное премущество, и Джейсон Бэггот перехватил нереализованную попытку.
scotsman.133765	prwmt	Climo stretched the Ayr lead with a penalty, before, right on half-time, he scored then converted a solo try to make it 17-5 to Ayr at the break.	Климо увеличил преимущество "Айр" на пенальти, потом, ровно в середине игры, увеличил счет, а потом реализовал одиночную попытку и к перерыву довел счет до 17-5 в пользу "Айр".
scotsman.133765	prwmt	But Melrose began the second half well and Patrick Anderson's try, converted by Baggot, reduced the leeway to five points.	Но "Мелроуз" хорошо начали второй тайм, и попытка Патрика Андерсона, реализованная Бэгготом, снизила отставание в счете до пяти очков.
scotsman.133765	prwmt	There was then a lengthy hold-up for a serious injury to Ruaridh Knott, who was stretchered off, and from the restart, Ayr surged further ahead through a Stafford McDowall try, converted by Climo.	Потом был длительный перерыв из-за серьезной травмы Руарида Кнотта, которого унесли на носилках, а после возобновления матча "Айр" снова рванулась вперед благодаря попытке Стаффорда МакДауэлла, реализованной Климо.
scotsman.133765	prwmt	Ayr acting captain Blair Macpherson was then yellow-carded, and again, Melrose made the extra man pay with an unconverted Bruce Colvine try, at the end of a spell of fierce pressure.	Потом действующий капитан "Айр" Блэр Макферсон получил желтую карточку, и снова "Мелроуз" благодаря лишнему игроку после интенсивного давления получила нереализованную попытку Брюса Колвина.
scotsman.133765	prwmt	The home side came back, however, and when Struan Hutchinson was yellow-carded for tackling Climo without the ball, from the penalty line-out, MacPherson touched down at the back of the advancing Ayr maul.	Но хозяева поля вернулись, и когда Стрюан Хатчинсон получил желтую карточку за блокировку Климо без мяча, Макферсон от штрафной линии приземлил мяч позади идущей вперед в схватке за мяч "Айр".
scotsman.133765	prwmt	Climo converted, as he did again almost from the restart, after Kyle Rowe gathered David Armstrong's box kick and sent flanker Gregor Henry away for the home side's fifth try.	Климо реализовал попытку, и еще раз почти сразу после возобновления игры, после того, как Кайл Роу поймал мяч Дэвида Армстронга и отправил фланкера Грегора Генри на пятую попытку хозяев.
scotsman.133783	prwmt	Health secretary writes to EU workers at NHS Scotland over Brexit fears	Министр здравоохранения пишет сотрудникам ЕС в NHS Шотландии о опасениях насчет Брекзита
scotsman.133783	prwmt	The Health Secretary has written to EU staff working in Scotland's NHS to express the country's gratitude and wish for them to stay on post-Brexit.	Министр здравоохранения написал сотрудникам ЕС, работающим в NHS Шотландии, чтобы выразить брагодарность стране и желание, чтобы они остались после Брекзита.
scotsman.133783	prwmt	Jeane Freeman MSP sent a letter with less than six months to go until the UK withdraws from the EU.	Джин Фриман MSP отправила письмо менее чем за шесть месяцев до выхода Соединенного Королевства из ЕС.
scotsman.133783	prwmt	The Scottish Government has already committed to meet the cost of settled status applications for EU citizens working in its devolved public services.	Шотландское правительство уже согласилось покрыть расходы на заявления о получении статуса для граждан ЕС, работающих в общественных организациях автономии.
scotsman.133783	prwmt	In her letter, Ms Freeman wrote: "Over the summer, negotiations between the UK and EU on withdrawal have continued, heading towards expected decisions this autumn.	В своем письме г-жа Фриман написала: "В течение лета переговоры между Соединенным Королевством и ЕС продолжились, приведя к ожидаемому решению этой осенью.
scotsman.133783	prwmt	But the UK Government has also been stepping up its preparations for a possible no-deal scenario.	Но правительство Соединенного Королевства также ускорило свою подготовку к возможному сценарию без соглашения.
scotsman.133783	prwmt	I know this must be a very unsettling time for all of you.	Я знаю, что для всех вас это, должно быть, очень тревожное время.
scotsman.133783	prwmt	That is why I wanted to reiterate now how much I value the contribution of every member of staff, regardless of their nationality.	Вот почему я хотела повторить сейчас, как сильно я ценю вклад каждого сотрудника, безотносительно его национальности.
scotsman.133783	prwmt	Colleagues from across the EU, and beyond, bring valuable experience and skills that strengthen and improve the work of the health service, and benefit the patients and communities we serve.	Коллеги с другого конца ЕС и за его пределами приносят ценный опыт и навыки, которые усиливают и улучшают работу министерства здравоохранения и приносят пользу пациентам и сообществам, которым мы служим.
scotsman.133783	prwmt	Scotland is absolutely your home and we very much want you to stay here."	Шотландия - полностью ваш дом и мы очень хотим, чтобы вы остались здесь".
scotsman.133801	prwmt	Rangers' Graham Dorrans optimistic ahead of Rapid Vienna clash	Игрок Рейнджерс Грэхам Дорранс с оптимизмом ожидает встречи с Рапид Вена
scotsman.133801	prwmt	Rangers host Rapid Vienna on Thursday, knowing that victory over the Austrians, following the impressive draw in Spain against Villarreal earlier this month, will put them in a strong position to qualify from Group G of the Europa League.	Рейнджерс принимают Рапид Вена во вторник, зная, что победа над австрийцами после впечатляющеей ничьей в Испании против Вильяреала ранее в этом месяце, даст им хорошие шансы на выход из группы G Лиги Европы.
scotsman.133801	prwmt	A knee injury prevented midfielder Graham Dorrans from making his first appearance of the season until the 2-2 draw with Villarreal but he believes Rangers can use that result as a springboard to greater things.	Травма колена помешала полузащитнику Грэхаму Доррансу впервые появиться на поле в этом сезоне до ничьей 2-2 с Вильяреалом, но он верит, что Рейнджерс могут использовать этот результат как трамплин для более великих дел.
scotsman.133801	prwmt	"It was a good point for us because Villarreal are a good side," said the 31-year-old.	"Для нас это был хороший момент, потому что Вильяреал - хорошая команда", - сказал 31-летний мужчина.
scotsman.133801	prwmt	"We went into the game believing we could get something and came away with a point.	"Мы начали игру с верой в то, что мы можем что-то получить, и закончили ее с одним очком.
scotsman.133801	prwmt	Maybe we could have nicked it in the end but, overall, a draw was probably a fair result.	Возможно, в конце мы могли бы улучшить результат, но, в общем, ничья была, кажется, справедливым результатом.
scotsman.133801	prwmt	They were probably better in the first half and we came out in the second half and were the better side.	Они, возможно, были лучше в первом тайме, а мы раскрылись во втором тайме и были лучшей командой.
scotsman.133801	prwmt	Going into Thursday, it's another big European night.	Что касается четверга, это еще один важный вечер для Европы.
scotsman.133801	prwmt	Hopefully, we can get three points but that will be tough game because they had a good result in their last game but, with the crowd behind us, I'm sure we can push on and get a positive result.	Надеемся, мы сможем получить три очка, но это будет напряженная игра, потому что у них был хороши результат в их последней игре, но с поддержкой толпы, я уверен, мы можем постараться и добиться положительного результата.
scotsman.133801	prwmt	Last year was definitely tough, between everything that happened with my injuries and the changes at the club itself but there's a feelgood factor about the place now.	Прошлый год точно был напряженным, проведенный между всем тем, что случалось с моими травмами, и переменами в самом клубе, но сейчас место внушает оптимизм.
scotsman.133801	prwmt	The squad's good and the boys are really enjoying it; the training's good.	Состав хорош, и парням действительно нравится; тренировки хороши.
scotsman.133801	prwmt	Hopefully, we can push on now, put last season behind us and be successful."	Надеюсь, сейчас мы можем постараться, оставить прошлый сезон в прошлом и быть успешными".
scotsman.133804	prwmt	Still Game star looks set for new career in restaurant industry	Звезда сериала "Все еще игра", кажется, готова к новой карьере в сфере ресторанного бизнеса
scotsman.133804	prwmt	Still Game star Ford Kieran looks set to move into the hospitality industry after it was discovered he's been named as the director of a licensed restaurants company.	Звезда сериала "Все еще игра" Форд Киран, кажется, готов перейти в индустрию гостеприимства после того, как выяснилось, что он был назван директором лицензированного ресторанного предприятия.
scotsman.133804	prwmt	The 56-year-old plays Jack Jarvis on the popular BBC show, which he writes and co-stars with long-time comedy partner Greg Hemphill.	56-летний мужчина играет Джека Джарвиса в популярном шоу на BBC, для которого он пишет сценарии и снимается вместе с давним партнером по комедийному жанру Грегом Хемфиллом.
scotsman.133804	prwmt	The duo have announced that the upcoming ninth series will be the final one in the show's run, and it appears Kiernan is planning for life after Craiglang.	Дуэт объявил о том, что предстоящий девятый сезон будет последним в шоу, и, оказывается, Кирнан строит планы на жизнь после Крейгланга.
scotsman.133804	prwmt	According to official record listings, he is the director of Adriftmorn Limited.	Согласно официальным спискам, он является директором Adriftmorn Limited.
scotsman.133804	prwmt	The actor declined to comment on the story, though a Scottish Sun source hinted that Kiernan was looking to get involved in Glasgow's "thriving restaurant trade."	Актер отказался комментировать эту историю, хотя источник Scottish Sun намекнул, что Кирнан собирался стать частью "процветающего ресторанного бизнеса" Глазго.
seattle_times.7019	prwmt	Nancy Pelosi is subject of book by daughter Christine Pelosi	Дочь Нэнси Пелоси напишет о матери книгу
seattle_times.7019	prwmt	An upcoming book on House Speaker Nancy Pelosi comes from someone who knows her well, daughter Christine Pelosi.	О спикере Палаты представителей США вскоре выходит книга, и ее автором станет один из самых близких людей Нэнси Пелоси, её собственная дочь Кристин Пелоси.
seattle_times.7019	prwmt	"The Nancy Pelosi Way" will be released Nov. 26, Skyhorse Publishing announced Thursday. Christine Pelosi's book will examine how a mother of five became the first female house speaker and her current leadership of House Democrats during the Trump administration. According to Skyhorse, Christine Pelosi will weave together "the professional and personal experiences" of her mother.	В четверг издательство Skyhorse Publishing объявило, что книга «Путь Нэнси Пелоси» поступит в продажу 26 ноября. В книге Кристин Пелоси будет рассказываться о том, как мать пятерых детей стала первой женщиной-спикером Палаты представителей и о ее роли как лидера демократов Палаты в период администрации Трампа. В Skyhorse заявляют, что Кристин Пелоси «соединит в книге профессиональную и личную истории» своей матери.
seattle_times.7019	prwmt	Christine Pelosi is a Democratic Party strategist and author of "Campaign Boot Camp" and "Campaign Boot Camp 2.0." Pelosi's sister, Alexandra Pelosi, is a filmmaker and journalist who has made several documentaries about contemporary politics.	Кристин Пелоси – политический консультант Демократической партии США и автор книг «Campaign Boot Camp» и «Campaign Boot Camp 2.0». Александра Пелоси, сестра Пелоси, - режиссер, журналист и автор нескольких документальных фильмов о современной политике.
seattle_times.7452	prwmt	French chemical fire extinguished as questions mount	Во Франции потушен пожар на химическом заводе, вопросов все больше
seattle_times.7452	prwmt	French authorities and Normandy residents are clearing up residue from a huge fire at a chemical plant as a foul stench continues to spread over a swath of territory.	ПАРИЖ (AP) – Власти Франции и жители Нормандии очищают местность от последствий огромного пожара на заводе с химикатами, в результате которого на большую территорию распространилась ужасная вонь.
seattle_times.7452	prwmt	No one was injured in Thursday's fire at a lubricant plant in Rouen, but residents have expressed concern about possible health risks and consequences for the nearby Seine River.	Пострадавших в результате пожара на заводе смазочных материалов в Руане не обнаружено, однако местных жителей беспокоят возможный вред для здоровья и экологический ущерб, нанесенный реке Сена.
seattle_times.7452	prwmt	The head of the regional administration said Friday the fire was extinguished Thursday night after nearly 24 hours. Firefighters are still on the scene.	В пятницу глава местной администрации заявил, что пожар был потушен ночью в четверг, а борьба с ним заняла почти сутки. На месте происшествия все еще присутствуют пожарные.
seattle_times.7452	prwmt	The administration warned of a new odor released after the fire was put out, saying it could spread to neighboring regions.	Местная администрация предупредила жителей о новом запахе, возникшем уже после тушения пожара: по их мнению, есть риск того, что он дойдет до соседних регионов.
seattle_times.7452	prwmt	Interior Minister Christophe Castaner said people in fragile health should remain indoors through Friday night.	Министр внутренних дел Франции Кристоф Кастанер заявил, что людям со слабым здоровьем лучше воздержаться от выхода из дома в пятницу.
seattle_times.7452	prwmt	The cause of the fire is being investigated. The plant is among the highest-risk industrial sites in Europe.	Данный завод является одним из самых небезопасных промышленных сооружений в Европе.
sky.com.20669	prwmt	Man set alight on doorstep 'in targeted attack'	Мужчину подожгли на пороге дома при «целенаправленном нападении»
sky.com.20669	prwmt	A man has been set alight on his doorstep in what police believe is a targeted attack.	Мужчину подожгли на пороге его дома во время нападения, которое полиция считает целенаправленным.
sky.com.20669	prwmt	The 48-year-old was soaked in flammable liquid, believed to be petrol, before bursting into flames outside his home in Skelmersdale, West Lancashire.	48-летний мужчина был облит легковоспламеняющейся жидкостью, предположительно бензином, перед тем как его охватило пламя у его дома в Скелмерсдейле, Западный Ланкашир.
sky.com.20669	prwmt	He is in hospital in a critical but stable condition after suffering serious burns.	Он находится в больнице в критическом, но стабильном состоянии после получения серьезных ожогов.
sky.com.20669	prwmt	Police have launched an attempted murder inquiry after they were called to the man's house at about 1am on Thursday.	Полиция начала расследование покушения на убийство после вызова в дом мужчины примерно в час ночи в четверг.
sky.com.20669	prwmt	Detective Chief Inspector Pauline Stables, leading the investigation, said: "This is a horrific incident which has left a man in a very poorly condition in hospital.	Главный инспектор уголовной полиции Полин Стейблз, которая ведет расследование, заявила: «Это ужасное происшествие, в результате которого мужчина находится в очень плохом состоянии в больнице.
sky.com.20669	prwmt	"We are carrying out a number of enquiries to try to identify those responsible.	Мы проводим ряд дознавательных действий, чтобы выявить ответственных.
sky.com.20669	prwmt	"While we are trying to establish a motive for what has happened, we do believe that the incident was targeted and I would like to stress that I don't believe there is any threat to the wider community at this time.	Пытаясь установить мотив случившегося, мы убеждены в том, что это происшествие было запланировано, и я бы хотела подчеркнуть, что не считаю, что на данный момент существует какая-либо угроза более широкому сообществу.
sky.com.20669	prwmt	"Someone out there knows who has done this and I would urge them to come forward and speak to us.	Кто-то из них знает, кто это сделал, и я прошу их откликнуться и поговорить с нами.
sky.com.20669	prwmt	"Has a loved one come home acting suspiciously, smelling of smoke or petrol or with unexplained injuries?	Близкий человек пришел домой и вел себя подозрительно, от него пахло дымом или бензином, или у него были необъяснимые травмы?
sky.com.20669	prwmt	"We need to find the people responsible for this dreadful crime."	Нам нужно найти людей, ответственных за это страшное преступление».
telegraph.405401	prwmt	Parliament's statue of Cromwell becomes latest memorial hit by 'rewriting history' row	Парламентская статуя Кромвеля становится последним памятником, затронутым в процессе "переписывания истории"
telegraph.405401	prwmt	Its banishment would be poetic justice for his Taliban-like destruction of so many of England's cultural and religious artefacts carried out by his fanatical Puritan followers.	Ее демонтаж станет поэтическим приговором за его разрушительные действия, подобные действиям Талибана, осуществлявшиеся его фанатичными сторонниками-пуританами в отношении очень многих культурных и религиозных артефактов Англии.
telegraph.405401	prwmt	But the Cromwell Society described Mr Crick's suggestion as "folly" and "attempting to rewrite history."	Однако Общество Кромвеля назвало предложение г-на Крика "глупостью" и "попыткой переписать историю".
telegraph.405401	prwmt	John Goldsmith, chairman of the Cromwell Society, said: "It was inevitable in the present debate about the removal of statues that the figure of Oliver Cromwell outside the Palace of Westminster would become a target.	Джон Голдсмит, председатель общества Кромвеля, сказал: "В свете нынешних дебатов о сносе статуй было неизбежно, что фигура Оливера Кромвеля рядом с Вестминстерским замком станет мишенью.
telegraph.405401	prwmt	The iconoclasm of the English civil wars was neither ordered nor carried out by Cromwell.	Иконоборчество в ходе английских гражданских войн не было ни срежиссировано, ни осуществлено Кромвелем.
telegraph.405401	prwmt	Perhaps the wrong Cromwell would be sacrificed for the actions of his ancestor Thomas in the previous century.	Наверное, Кромвель будет несправедливо принесен в жертву за действия своего предшественника Томаса в предыдущем веке.
telegraph.405401	prwmt	Sir William Hamo Thorneycroft's magnificent representation of Cromwell is evidence of 19th century opinion and part of the historiography of a figure who many believe is still worth celebrating.	Великолепное представление Сэра Уильяма Хамо Торнейкрофта о Кромвеле является демонстрацией мнения 19 века и частью историографии личности, которую, как многие полагают, все еще стоит прославлять.
telegraph.405401	prwmt	Mr Goldsmith told The Sunday Telegraph: "Cromwell is regarded by many, perhaps more in the late 19th century than today, as a defender of parliament against external pressure, in his case of course the monarchy.	Г-н Голдсмит рассказал The Sunday Telegraph: "Многие,возможно, больше в конце 19-го века, нежели сейчас, считают Кромвеля защитником парламента от внешнего давления, в его случае, конечно, монархии.
telegraph.405401	prwmt	Whether that is a wholly accurate representation is the subject of continuing historical debate.	Вопрос о том, насколько верна такая интерпретация, является предметом продолжающихся споров среди историков.
telegraph.405401	prwmt	What is certain is that the conflict of the mid 17th century has shaped the subsequent development of our nation, and Cromwell is an individual recognisable figure who represents one side of that divide.	Что точно известно, так это то, что конфликт середины 17-го века сформировал последующее развитие нашей нации, а Кромвель является сам по себе узнаваемой личностью, которая представляет одну из сторон того разделения.
telegraph.405401	prwmt	His achievements as Lord Protector are also worth celebrating and commemorating."	Его достижения как лорда-протектора также стоит прославлять и помнить".
telegraph.405408	prwmt	How the US-China trade war may be good for Beijing	Как торговля между США и Китаем может быть полезна для Пекина
telegraph.405408	prwmt	The opening salvos of the trade war between the US and China were deafening, and while the battle is far from over, a rift between the countries may be beneficial to Beijing in the long term, experts say.	Первые залпы торговой войны между США и Китаем были оглушительны, но хотя борьба еще далеко не закончена, разногласия между странами в долгосрочной перспективе могут быть полезны для Пекина, говорят эксперты.
telegraph.405408	prwmt	Donald Trump, the US President, fired the first warning earlier this year by taxing key Chinese exports including solar panels, steel and aluminium.	Президент США Дональд Трамп сделал предупредительный выстрел ранее в этом году, обложив пошлинами ключевые статьи китайского экспорта, включая солнечные панели, сталь и алюминий.
telegraph.405408	prwmt	The most significant escalation rolled in this week with new tariffs affecting $200 billion (£150 billion) worth of items, effectively taxing half of all goods coming into the US from China.	Самое значительное повышение пришлось на эту неделю; новые тарифы затронули товары общей стоимостью 200 миллиардов долларов (150 миллиардов фунтов), в результате чего под налогообложение попала половина всех товаров, поступающих в США из Китая.
telegraph.405408	prwmt	Beijing has retaliated each time in kind, most recently slapping tariffs of five to ten per cent on $60 billion of American goods.	Пекин отвечал каждый раз тем же, в последний раз повысив тарифы на пять- десять процентов на американские товары общей стоимостью 60 миллиардов долларов.
telegraph.405408	prwmt	China has pledged to match the US shot-for-shot, and the world's second largest economy is unlikely to blink anytime soon.	Китай обещал зеркально отвечать на действия США, и вряд ли вторая в мире по величине экономика в ближайшее время отступит.
telegraph.405408	prwmt	Getting Washington to back down means caving into demands, but publicly bowing to the US would be far too embarrassing for Xi Jinping, China's president.	Заставить Вашингтон отступить значит самим пойти на уступки, но публично склонить голову перед США поставило бы китайского председателя Си Дзиньпина в слишком неловкое положение.
telegraph.405408	prwmt	Still, experts say if Beijing can play its cards right, US trade war pressures could positively support China over the long term by lowering the inter-dependence of the two economies.	Тем не менее, эксперты говорят, что если Китай сможет разыграть свои карты правильно, то давление американской торговой войны может поддержать Китай в долгосрочной перспективе, снизив взаимную зависимость двух экономик.
telegraph.405408	prwmt	"The fact that a quick political decision in either Washington or Beijing could create the conditions that start an economic tailspin in either country is actually a lot more dangerous than onlookers have acknowledged before," said Abigail Grace, a research associate who focuses on Asia at the Center for New American Security, a think tank.	"То, что быстрые политические решения и в Вашингтоне, и в Пекине могут создать условия, которые введут обе страны в экономический штопор, в действительности гораздо более опасно, чем наблюдатели признавали ранее", - сказала Эбигейл Грейс, научный сотрудник и специалист по Азии в исследовательском Центре новой американской безопасности.
telegraph.405413	prwmt	Brett Kavanaugh's future hangs in the balance as FBI begins investigation	Будущее Бретта Кавано висит на волоске, так как ФБР начинает расследование
telegraph.405413	prwmt	"I thought, if we could actually get something like what he was asking for - an investigation limited in time, limited in scope - we could maybe bring a little unity," said Mr Flake on Saturday, adding that he feared the committee was "falling apart" amid entrenched partisan gridlock.	"Я думал, что если бы мы могли действительно осуществить что-то похожее на то, о чем он просил, - расследование, ограниченное во времени, ограниченное в масштабах, - мы могли бы достичь какого-то единства", - сказал г-е Флейк в субботу, добавив, что он боится, что комитет "разваливается" на фоне установившегося безвыходного положения сторонников.
telegraph.405413	prwmt	Why didn't Mr Kavanaugh and his Republican supporters want the FBI to investigate?	Почему г-н Кавано и его сторонники-республиканцы хотели, чтобы ФБР начало расследование?
telegraph.405413	prwmt	Their reluctance is all due to timing.	Их нежелание полностью связано с таймингом.
telegraph.405413	prwmt	The midterm elections are only five weeks away, on November 6 - if, as expected, the Republicans do badly, then they will be severely weakened in their attempts to get the man they want elected to the highest court in the land.	Промежуточные выборы состоятся всего лишь через пять недель, 6 ноября - если, как ожидается, у республиканцев будут проблемы, тогда они будут серьезно ослаблены в своих попытках добиться того, чтобы в самый высокий суд страны был избран тот человек, которого они хотят.
telegraph.405413	prwmt	George W. Bush has been picking up the phone to call Senators, lobbying them to support Mr Kavanaugh, who worked in the White House for Mr Bush and through him met his wife Ashley, who was Mr Bush's personal secretary.	Джордж У. Буш снимал трубку, чтобы позвонить сенаторам, склоняя их к поддержке г-на Кавано, который работал в Белом доме на г-на Буша и благодаря ему встретил свою жену Эшли, которая была личным секретарем г-на Буша.
telegraph.405413	prwmt	What happens after the FBI produces its report?	Что произойдет после того, как ФБР выпустит свой отчет?
telegraph.405413	prwmt	There will be a vote in the Senate, where 51 Republicans and 49 Democrats currently sit.	Будет голосование в Сенате, где сейчас заседают 51 республиканец и 49 демократов.
telegraph.405413	prwmt	It's still not clear whether Mr Kavanaugh can get to at least 50 votes on the Senate floor, which would allow Mike Pence, the vice president, to break a tie and confirm him to the Supreme Court.	Все еще до конца не ясно, сможет ли г-н Кавано получить хотя бы 50 голосов на уровне Сената, что позволило бы Майку Пенсу, вице-президенту, подвести итоги и утвердить его в Верховном суде.
telegraph.405422	prwmt	Desperate rescue efforts in Palu as death toll doubles in race to find survivors	Спасатели в Палу отчаянно пытаются найти выживших, а число погибших увеличилось вдвое
telegraph.405422	prwmt	For survivors, the situation was increasingly dire.	Выжившим становится все тяжелее.
telegraph.405422	prwmt	"It feels very tense," said 35-year-old mother Risa Kusuma, comforting her feverish baby boy at an evacuation centre in the gutted city of Palu.	"Ситуация очень напряженная", - сказала 35-летняя мать Риса Кусума, успокаивая своего малыша, у которого высокая температура, в эвакуационном центре в разрушенном городе Палу.
telegraph.405422	prwmt	"Every minute an ambulance brings in bodies.	"Каждую минуту скорая помощь привозит погибших.
telegraph.405422	prwmt	Clean water is scarce."	Чистой воды не хватает.
